cod_municipio,nome_municipio,sigla_uf,ano,soja_ha
3553906,Tarabai,SP,2008,37.37999619961607
3545100,Salmourão,SP,2008,0.0
3534609,Osvaldo Cruz,SP,2008,0.0
3527405,Lucélia,SP,2008,2.330171789550781
3544707,Sagres,SP,2008,0.0
3540853,Pracinha,SP,2008,0.0
3520806,Inúbia Paulista,SP,2008,0.0
3516002,Flórida Paulista,SP,2008,0.0
3500105,Adamantina,SP,2008,1.9142853698730469
3528908,Mariápolis,SP,2008,0.0
3534906,Pacaembu,SP,2008,0.5001749084472656
3514403,Dracena,SP,2008,11.832701068115234
3531605,Monte Castelo,SP,2008,285.1770934799135
3521606,Irapuru,SP,2008,17.42728948364258
3536406,Paulicéia,SP,2008,386.36405001831054
3549300,São João do Pau d'Alho,SP,2008,92.33953154296876
3533106,Nova Guataporanga,SP,2008,13.868627662808288
3535408,Panorama,SP,2008,158.7394862487793
3526001,Junqueirópolis,SP,2008,0.0
3515806,Flora Rica,SP,2008,0.0
3534807,Ouro Verde,SP,2008,14.164653698730469
3555109,Tupi Paulista,SP,2008,16.84115842895508
3547106,Santa Mercedes,SP,2008,31.614447241210936
3528700,Marabá Paulista,SP,2008,108.80690050067976
3541307,Presidente Epitácio,SP,2008,180.11963884277344
3509106,Caiuá,SP,2008,101.88946331444835
3538303,Piquerobi,SP,2008,262.75007924194335
3541505,Presidente Venceslau,SP,2008,219.16867904464425
3502804,Araçatuba,SP,2008,1372.25523485555
3532868,Nova Castilho,SP,2008,62.28760088831284
3533304,Nova Luzitânia,SP,2008,2.008133984375
3556305,Valparaíso,SP,2008,29.55926594238281
3506201,Bento de Abreu,SP,2008,80.95566661376954
3544400,Rubiácea,SP,2008,150.1463063720703
3548054,Santo Antônio do Aracanguá,SP,2008,817.8650685424805
3516804,Gastão Vidigal,SP,2008,66.79111800537109
3504206,Auriflama,SP,2008,15.166828057861329
3528304,Magda,SP,2008,63.10774662475586
3518909,Guzolândia,SP,2008,47.68000005493164
3531001,Monções,SP,2008,5.188089831542968
3518206,Guararapes,SP,2008,344.27887705688477
3516903,General Salgado,SP,2008,34.02761571798886
3512506,Coroados,SP,2008,2615.153636586579
3506508,Birigui,SP,2008,6620.080536962938
3507704,Braúna,SP,2008,10.917786077593636
3507753,Brejo Alegre,SP,2008,1250.6851682618146
3537701,Piacatu,SP,2008,0.0
3504404,Avanhandava,SP,2008,24.419776287841795
3527256,Lourdes,SP,2008,385.710410910094
3501103,Alto Alegre,SP,2008,9.738419702148438
3516507,Gabriel Monteiro,SP,2008,2.6659108154296876
3511904,Clementina,SP,2008,0.583065966796875
3557154,Zacarias,SP,2008,297.11133380126955
3537305,Penápolis,SP,2008,16.9193123840332
3517109,Glicério,SP,2008,1373.7028132390042
3548401,Santópolis do Aguapeí,SP,2008,12.566737042236328
3555208,Turiúba,SP,2008,82.95980275330786
3527702,Luiziânia,SP,2008,0.0
3508108,Buritama,SP,2008,1275.7845186258235
3505104,Barbosa,SP,2008,38.46616004028321
3506409,Bilac,SP,2008,445.01541138916014
3532108,Murutinga do Sul,SP,2008,0.0
3523008,Itapura,SP,2008,1351.23414638916
3537404,Pereira Barreto,SP,2008,646.7394523508349
3530102,Mirandópolis,SP,2008,101.6072413824104
3533205,Nova Independência,SP,2008,343.1967086627796
3511003,Castilho,SP,2008,718.6512724550734
3517802,Guaraçaí,SP,2008,5.17729887084961
3526506,Lavínia,SP,2008,0.0
3502101,Andradina,SP,2008,1217.0745937157483
3552304,Sud Mennucci,SP,2008,263.2265769775391
3520442,Ilha Solteira,SP,2008,174.15791548320695
3540804,Potirendaba,SP,2008,28.32407868652344
3500907,Altair,SP,2008,101.46341672363282
3533007,Nova Granada,SP,2008,147.2240253967285
3525706,José Bonifácio,SP,2008,1255.6788620546827
3519808,Icém,SP,2008,19.168359047588275
3556008,Urupês,SP,2008,10.601891394042969
3531407,Monte Aprazível,SP,2008,39.34495610351563
3532702,Nipoã,SP,2008,0.0
3555356,Ubarana,SP,2008,434.7316794014246
3534203,Orindiúva,SP,2008,215.5115507080078
3539905,Poloni,SP,2008,1.33974990234375
3544806,Sales,SP,2008,259.0139069213867
3539608,Planalto,SP,2008,105.14805192260742
3533502,Novo Horizonte,SP,2008,70.15968808363971
3534005,Onda Verde,SP,2008,94.61238272094727
3519402,Ibirá,SP,2008,75.62130427138383
3500204,Adolfo,SP,2008,372.21741435546875
3528106,Macaubal,SP,2008,20.924915551757813
3536604,Paulo de Faria,SP,2008,699.4532108337403
3553401,Tanabi,SP,2008,40.16969993286133
3529500,Mendonça,SP,2008,57.61095927124023
3521507,Irapuã,SP,2008,78.61183446655274
3555703,União Paulista,SP,2008,8.952163946533203
3535002,Palestina,SP,2008,467.6375259277344
3532801,Nova Aliança,SP,2008,56.98391896972656
3530300,Mirassol,SP,2008,18.08426680908203
3517505,Guapiaçu,SP,2008,24.534859686279297
3511300,Cedral,SP,2008,4.635450191578585
3555604,Uchoa,SP,2008,14.643783984375
3549805,São José do Rio Preto,SP,2008,3.738571705800973
3521150,Ipiguá,SP,2008,50.29211909790039
3504800,Bálsamo,SP,2008,2.345825653076172
3532504,Neves Paulista,SP,2008,9.452655096435548
3530409,Mirassolândia,SP,2008,5.78306343383789
3504602,Bady Bassitt,SP,2008,100.6126248046875
3524501,Jaci,SP,2008,7.860939807128906
3535101,Palmares Paulista,SP,2008,1.2532824096679687
3535705,Paraíso,SP,2008,0.5853891235351563
3556909,Vista Alegre do Alto,SP,2008,44.64921022731407
3503703,Ariranha,SP,2008,0.584645166015625
3521903,Itajobi,SP,2008,89.77554816645603
3539004,Pirangi,SP,2008,25.31788400878906
3545605,Santa Adélia,SP,2008,5.420481652832032
3552601,Tabapuã,SP,2008,31.870356365966796
3515608,Fernando Prestes,SP,2008,2.836133917236328
3538105,Pindorama,SP,2008,9.015417163085937
3528858,Marapoama,SP,2008,8.09698441772461
3511201,Catiguá,SP,2008,19.22237392578125
3514957,Embaúba,SP,2008,0.5853458679199218
