RGINT,Ano,Categoria,Area_ha,Fonte
Santarém,2015,Outras,3173638.3976351875,MapBiomas
Santarém,2015,Outras_Perenes,0.0,MapBiomas
Santarém,2015,Outras_Temporarias,93395.55169089398,MapBiomas
Santarém,2015,Pastagem,2158690.520030091,MapBiomas
Santarém,2015,Silvicultura,81.30469183959961,MapBiomas
Santarém,2015,Soja,35130.89700567641,MapBiomas
Santarém,2015,Veg_Nativa_Campestre,501618.60792147653,MapBiomas
Santarém,2015,Veg_Nativa_Florestal,37230599.255078405,MapBiomas
Santarém,2015,Veg_Nativa_Savanica,410823.50107082224,MapBiomas
Santarém,2015,Veg_Nativa_Umida,366372.47420164023,MapBiomas
Santarém,2016,Cana,71.47933302612303,MapBiomas
Santarém,2016,Mosaico_Usos,8081.148347174083,MapBiomas
Santarém,2016,Outras,3075364.7728567547,MapBiomas
Santarém,2016,Outras_Perenes,0.0,MapBiomas
Santarém,2016,Outras_Temporarias,91287.05069849483,MapBiomas
Santarém,2016,Pastagem,2253670.7603467805,MapBiomas
Santarém,2016,Silvicultura,81.84089270629883,MapBiomas
Santarém,2016,Soja,44507.56565908833,MapBiomas
Santarém,2016,Veg_Nativa_Campestre,504918.4262032758,MapBiomas
Santarém,2016,Veg_Nativa_Florestal,37123266.1208631,MapBiomas
Santarém,2016,Veg_Nativa_Savanica,410760.47973112436,MapBiomas
Santarém,2016,Veg_Nativa_Umida,467002.740536161,MapBiomas
Santarém,2017,Cana,72.0127543579101,MapBiomas
Santarém,2017,Mosaico_Usos,7292.02173394182,MapBiomas
Santarém,2017,Outras,3132991.9896180895,MapBiomas
Santarém,2017,Outras_Perenes,0.0,MapBiomas
Santarém,2017,Outras_Temporarias,88281.39435961856,MapBiomas
Santarém,2017,Pastagem,2288428.3734573843,MapBiomas
Santarém,2017,Silvicultura,81.84090036010743,MapBiomas
Santarém,2017,Soja,53638.63811637011,MapBiomas
Santarém,2017,Veg_Nativa_Campestre,503956.4783130663,MapBiomas
Santarém,2017,Veg_Nativa_Florestal,37074379.796901,MapBiomas
Santarém,2017,Veg_Nativa_Savanica,410673.22327224375,MapBiomas
Santarém,2017,Veg_Nativa_Umida,419216.61604117544,MapBiomas
Santarém,2018,Cana,72.81288197631827,MapBiomas
Santarém,2018,Mosaico_Usos,7254.859107812629,MapBiomas
Santarém,2018,Outras,3124380.067853489,MapBiomas
Santarém,2018,Outras_Perenes,0.0,MapBiomas
Santarém,2018,Outras_Temporarias,85129.29062960221,MapBiomas
Santarém,2018,Pastagem,2344943.4563857308,MapBiomas
Santarém,2018,Silvicultura,81.93024432983397,MapBiomas
Santarém,2018,Soja,53137.048356708474,MapBiomas
Santarém,2018,Veg_Nativa_Campestre,503609.43333679065,MapBiomas
Santarém,2018,Veg_Nativa_Florestal,37015386.24900196,MapBiomas
Santarém,2018,Veg_Nativa_Savanica,410305.0779995393,MapBiomas
Santarém,2018,Veg_Nativa_Umida,434712.1596696755,MapBiomas
Santarém,2019,Cana,69.16782575683604,MapBiomas
Santarém,2019,Mosaico_Usos,7053.117825512841,MapBiomas
Santarém,2019,Outras,3153710.5115267267,MapBiomas
Santarém,2019,Outras_Perenes,0.0,MapBiomas
Santarém,2019,Outras_Temporarias,81664.10352930271,MapBiomas
Santarém,2019,Pastagem,2467850.331165004,MapBiomas
Santarém,2019,Silvicultura,87.82798649291992,MapBiomas
Santarém,2019,Soja,54678.10187179687,MapBiomas
Santarém,2019,Veg_Nativa_Campestre,504739.7332223371,MapBiomas
Santarém,2019,Veg_Nativa_Florestal,36882793.50040877,MapBiomas
Santarém,2019,Veg_Nativa_Savanica,409736.67770700407,MapBiomas
Santarém,2019,Veg_Nativa_Umida,416629.312398839,MapBiomas
Santarém,2020,Cana,70.85712424316415,MapBiomas
Santarém,2020,Mosaico_Usos,6785.057257641691,MapBiomas
Santarém,2020,Outras,3148384.0917812125,MapBiomas
Santarém,2020,Outras_Perenes,0.0,MapBiomas
Santarém,2020,Outras_Temporarias,87165.23460952347,MapBiomas
Santarém,2020,Pastagem,2585404.7544770236,MapBiomas
Santarém,2020,Silvicultura,129.19956382446276,MapBiomas
Santarém,2020,Soja,54506.52711867769,MapBiomas
Santarém,2020,Veg_Nativa_Campestre,506069.4383980334,MapBiomas
Santarém,2020,Veg_Nativa_Florestal,36727705.32031067,MapBiomas
Santarém,2020,Veg_Nativa_Savanica,409613.3373947231,MapBiomas
Santarém,2020,Veg_Nativa_Umida,453178.56743174343,MapBiomas
Santarém,2021,Cana,97.44114011840826,MapBiomas
Santarém,2021,Mosaico_Usos,6739.535244171287,MapBiomas
Santarém,2021,Outras,3213532.934203687,MapBiomas
Santarém,2021,Outras_Perenes,0.0,MapBiomas
Santarém,2021,Outras_Temporarias,36284.58904287117,MapBiomas
Santarém,2021,Pastagem,2742265.989534911,MapBiomas
Santarém,2021,Silvicultura,129.55695437011707,MapBiomas
Santarém,2021,Soja,110991.77306851426,MapBiomas
Santarém,2021,Veg_Nativa_Campestre,514891.16745326394,MapBiomas
Santarém,2021,Veg_Nativa_Florestal,36535148.49856637,MapBiomas
Santarém,2021,Veg_Nativa_Savanica,409787.05522069975,MapBiomas
Santarém,2021,Veg_Nativa_Umida,409143.84503823594,MapBiomas
Santarém,2022,Cana,119.7572638061526,MapBiomas
Santarém,2022,Mosaico_Usos,6755.711458337501,MapBiomas
Santarém,2022,Outras,3288531.938625524,MapBiomas
Santarém,2022,Outras_Perenes,0.0,MapBiomas
Santarém,2022,Outras_Temporarias,36528.233223303294,MapBiomas
Santarém,2022,Pastagem,2897215.9168346194,MapBiomas
Santarém,2022,Silvicultura,129.55695437011707,MapBiomas
Santarém,2022,Soja,111753.27155816228,MapBiomas
