ano,cultura,area_ha
2008,soja,2286396.0
2008,milho,898740.0
2008,cana,816.0
2008,algodao,109061.0
2009,soja,2308364.0
2009,milho,757180.0
2009,cana,1180.0
2009,algodao,55952.0
2010,soja,2417781.0
2010,milho,955283.0
2010,cana,808.0
2010,algodao,77177.0
2011,soja,2565577.0
2011,milho,866509.0
2011,cana,675.0
2011,algodao,126260.0
2012,soja,2751322.0
2012,milho,1328593.0
2012,cana,835.0
2012,algodao,147272.0
2013,soja,3058485.0
2013,milho,1702200.0
2013,cana,481.0
2013,algodao,72980.0
2014,soja,3326323.0
2014,milho,1527363.0
2014,cana,1570.0
2014,algodao,102585.0
2015,soja,3418930.0
2015,milho,1691366.0
2015,cana,1600.0
2015,algodao,101503.0
2016,soja,3507053.0
2016,milho,1839348.0
2016,cana,1520.0
2016,algodao,107842.0
2017,soja,3557267.0
2017,milho,2336203.0
2017,cana,1535.0
2017,algodao,116566.0
2018,soja,3562207.0
2018,milho,2133307.0
2018,cana,4165.0
2018,algodao,143366.0
2019,soja,3741770.0
2019,milho,2456073.0
2019,cana,4190.0
2019,algodao,250684.0
2020,soja,3856863.0
2020,milho,2612310.0
2020,cana,1940.0
2020,algodao,279521.0
2021,soja,4010593.0
2021,milho,2744864.0
2021,cana,3745.0
2021,algodao,220478.0
2022,soja,4218876.0
2022,milho,3095632.0
2022,cana,3265.0
2022,algodao,313700.0
2023,soja,4528882.0
2023,milho,3495113.0
2023,cana,3290.0
2023,algodao,313481.0
2024,soja,4720665.0
2024,milho,3456672.0
2024,cana,2745.0
2024,algodao,409665.0
