ano,cultura,area_ha
2008,soja,320.0
2008,milho,8999.0
2008,cana,1067.0
2008,algodao,0.0
2009,soja,515.0
2009,milho,7030.0
2009,cana,264.0
2009,algodao,0.0
2010,soja,610.0
2010,milho,8010.0
2010,cana,102.0
2010,algodao,0.0
2011,soja,720.0
2011,milho,7863.0
2011,cana,83.0
2011,algodao,0.0
2012,soja,782.0
2012,milho,7785.0
2012,cana,63.0
2012,algodao,0.0
2013,soja,920.0
2013,milho,7330.0
2013,cana,62.0
2013,algodao,0.0
2014,soja,1470.0
2014,milho,5575.0
2014,cana,62.0
2014,algodao,0.0
2015,soja,4540.0
2015,milho,5005.0
2015,cana,39.0
2015,algodao,0.0
2016,soja,1900.0
2016,milho,5990.0
2016,cana,52.0
2016,algodao,0.0
2017,soja,2400.0
2017,milho,6140.0
2017,cana,64.0
2017,algodao,0.0
2018,soja,2400.0
2018,milho,6490.0
2018,cana,64.0
2018,algodao,0.0
2019,soja,15230.0
2019,milho,14510.0
2019,cana,81.0
2019,algodao,0.0
2020,soja,14230.0
2020,milho,15305.0
2020,cana,62.0
2020,algodao,0.0
2021,soja,14230.0
2021,milho,16235.0
2021,cana,64.0
2021,algodao,0.0
2022,soja,14650.0
2022,milho,16815.0
2022,cana,64.0
2022,algodao,0.0
2023,soja,14650.0
2023,milho,16935.0
2023,cana,64.0
2023,algodao,0.0
2024,soja,17400.0
2024,milho,19235.0
2024,cana,64.0
2024,algodao,0.0
