ano,cultura,area_ha
2008,soja,48712.0
2008,milho,48481.0
2008,cana,757.0
2008,algodao,0.0
2009,soja,48915.0
2009,milho,40278.0
2009,cana,783.0
2009,algodao,0.0
2010,soja,55402.0
2010,milho,32702.0
2010,cana,923.0
2010,algodao,0.0
2011,soja,54854.0
2011,milho,32532.0
2011,cana,883.0
2011,algodao,678.0
2012,soja,55050.0
2012,milho,49442.0
2012,cana,717.0
2012,algodao,110.0
2013,soja,52500.0
2013,milho,53218.0
2013,cana,450.0
2013,algodao,0.0
2014,soja,72000.0
2014,milho,71296.0
2014,cana,470.0
2014,algodao,0.0
2015,soja,68862.0
2015,milho,65222.0
2015,cana,456.0
2015,algodao,0.0
2016,soja,70875.0
2016,milho,70163.0
2016,cana,296.0
2016,algodao,0.0
2017,soja,70000.0
2017,milho,65334.0
2017,cana,375.0
2017,algodao,25.0
2018,soja,71500.0
2018,milho,63600.0
2018,cana,205.0
2018,algodao,0.0
2019,soja,75000.0
2019,milho,64000.0
2019,cana,205.0
2019,algodao,0.0
2020,soja,74500.0
2020,milho,61200.0
2020,cana,205.0
2020,algodao,0.0
2021,soja,80000.0
2021,milho,60000.0
2021,cana,205.0
2021,algodao,0.0
2022,soja,84200.0
2022,milho,60000.0
2022,cana,287.0
2022,algodao,0.0
2023,soja,85000.0
2023,milho,55500.0
2023,cana,205.0
2023,algodao,0.0
2024,soja,85000.0
2024,milho,53000.0
2024,cana,205.0
2024,algodao,0.0
