ano,cultura,area_ha
2008,soja,0.0
2008,milho,74985.0
2008,cana,625.0
2008,algodao,1347.0
2009,soja,0.0
2009,milho,76321.0
2009,cana,643.0
2009,algodao,723.0
2010,soja,0.0
2010,milho,46720.0
2010,cana,716.0
2010,algodao,936.0
2011,soja,0.0
2011,milho,56206.0
2011,cana,379.0
2011,algodao,296.0
2012,soja,0.0
2012,milho,28838.0
2012,cana,247.0
2012,algodao,62.0
2013,soja,0.0
2013,milho,3920.0
2013,cana,132.0
2013,algodao,0.0
2014,soja,0.0
2014,milho,26723.0
2014,cana,202.0
2014,algodao,0.0
2015,soja,0.0
2015,milho,19667.0
2015,cana,177.0
2015,algodao,15.0
2016,soja,0.0
2016,milho,23866.0
2016,cana,187.0
2016,algodao,2.0
2017,soja,0.0
2017,milho,27658.0
2017,cana,269.0
2017,algodao,40.0
2018,soja,0.0
2018,milho,29405.0
2018,cana,167.0
2018,algodao,100.0
2019,soja,0.0
2019,milho,29995.0
2019,cana,182.0
2019,algodao,113.0
2020,soja,0.0
2020,milho,31766.0
2020,cana,215.0
2020,algodao,201.0
2021,soja,0.0
2021,milho,28895.0
2021,cana,220.0
2021,algodao,88.0
2022,soja,0.0
2022,milho,28866.0
2022,cana,207.0
2022,algodao,103.0
2023,soja,0.0
2023,milho,28926.0
2023,cana,198.0
2023,algodao,58.0
2024,soja,0.0
2024,milho,33797.0
2024,cana,210.0
2024,algodao,66.0
