ano,cultura,area_ha
2008,soja,1142731.0
2008,milho,723158.0
2008,cana,161042.0
2008,algodao,2148.0
2009,soja,1123025.0
2009,milho,677582.0
2009,cana,190859.0
2009,algodao,1573.0
2010,soja,1132737.0
2010,milho,589111.0
2010,cana,257101.0
2010,algodao,1075.0
2011,soja,1140718.0
2011,milho,728694.0
2011,cana,330383.0
2011,algodao,1512.0
2012,soja,1187058.0
2012,milho,879074.0
2012,cana,372967.0
2012,algodao,1714.0
2013,soja,1281860.0
2013,milho,1089560.0
2013,cana,431168.0
2013,algodao,390.0
2014,soja,1370388.0
2014,milho,1113815.0
2014,cana,423930.0
2014,algodao,378.0
2015,soja,1461784.0
2015,milho,1154658.0
2015,cana,327572.0
2015,algodao,190.0
2016,soja,1534365.0
2016,milho,1135590.0
2016,cana,411921.0
2016,algodao,190.0
2017,soja,1636201.0
2017,milho,1239498.0
2017,cana,417167.0
2017,algodao,85.0
2018,soja,1667510.0
2018,milho,1297205.0
2018,cana,435496.0
2018,algodao,203.0
2019,soja,1743570.0
2019,milho,1320664.0
2019,cana,463639.0
2019,algodao,324.0
2020,soja,1888701.0
2020,milho,1318786.0
2020,cana,413176.0
2020,algodao,377.0
2021,soja,2029778.0
2021,milho,1427774.0
2021,cana,431500.0
2021,algodao,107.0
2022,soja,2173115.0
2022,milho,1574176.0
2022,cana,392665.0
2022,algodao,707.0
2023,soja,2288709.0
2023,milho,1592063.0
2023,cana,419358.0
2023,algodao,2002.0
2024,soja,2322716.0
2024,milho,1526668.0
2024,cana,403329.0
2024,algodao,598.0
