ano,cultura,area_ha
2008,soja,0.0
2008,milho,63212.0
2008,cana,337.0
2008,algodao,1634.0
2009,soja,0.0
2009,milho,65890.0
2009,cana,320.0
2009,algodao,1483.0
2010,soja,0.0
2010,milho,55283.0
2010,cana,280.0
2010,algodao,857.0
2011,soja,0.0
2011,milho,61158.0
2011,cana,247.0
2011,algodao,780.0
2012,soja,0.0
2012,milho,59951.0
2012,cana,230.0
2012,algodao,1083.0
2013,soja,0.0
2013,milho,39498.0
2013,cana,209.0
2013,algodao,709.0
2014,soja,0.0
2014,milho,56886.0
2014,cana,295.0
2014,algodao,948.0
2015,soja,0.0
2015,milho,55366.0
2015,cana,284.0
2015,algodao,33.0
2016,soja,0.0
2016,milho,49873.0
2016,cana,183.0
2016,algodao,54.0
2017,soja,0.0
2017,milho,48291.0
2017,cana,176.0
2017,algodao,64.0
2018,soja,0.0
2018,milho,52384.0
2018,cana,151.0
2018,algodao,445.0
2019,soja,0.0
2019,milho,49344.0
2019,cana,141.0
2019,algodao,542.0
2020,soja,0.0
2020,milho,55776.0
2020,cana,163.0
2020,algodao,444.0
2021,soja,0.0
2021,milho,64551.0
2021,cana,183.0
2021,algodao,246.0
2022,soja,0.0
2022,milho,70174.0
2022,cana,210.0
2022,algodao,103.0
2023,soja,0.0
2023,milho,71026.0
2023,cana,207.0
2023,algodao,128.0
2024,soja,0.0
2024,milho,66825.0
2024,cana,210.0
2024,algodao,158.0
