ano,cultura,area_ha
2008,soja,18493.0
2008,milho,62889.0
2008,cana,4217.0
2008,algodao,0.0
2009,soja,18465.0
2009,milho,59182.0
2009,cana,4516.0
2009,algodao,0.0
2010,soja,20105.0
2010,milho,58069.0
2010,cana,4466.0
2010,algodao,0.0
2011,soja,22449.0
2011,milho,60485.0
2011,cana,3965.0
2011,algodao,0.0
2012,soja,43842.0
2012,milho,58610.0
2012,cana,4113.0
2012,algodao,0.0
2013,soja,68072.0
2013,milho,51475.0
2013,cana,3969.0
2013,algodao,0.0
2014,soja,87259.0
2014,milho,47471.0
2014,cana,4147.0
2014,algodao,0.0
2015,soja,96032.0
2015,milho,43371.0
2015,cana,3983.0
2015,algodao,0.0
2016,soja,110933.0
2016,milho,41936.0
2016,cana,3536.0
2016,algodao,0.0
2017,soja,112390.0
2017,milho,44589.0
2017,cana,3427.0
2017,algodao,0.0
2018,soja,120015.0
2018,milho,40141.0
2018,cana,3330.0
2018,algodao,0.0
2019,soja,135355.0
2019,milho,39418.0
2019,cana,3177.0
2019,algodao,0.0
2020,soja,153890.0
2020,milho,39028.0
2020,cana,3219.0
2020,algodao,0.0
2021,soja,162635.0
2021,milho,40727.0
2021,cana,3215.0
2021,algodao,0.0
2022,soja,187350.0
2022,milho,43131.0
2022,cana,3233.0
2022,algodao,0.0
2023,soja,226681.0
2023,milho,45509.0
2023,cana,3165.0
2023,algodao,0.0
2024,soja,219478.0
2024,milho,42325.0
2024,cana,3142.0
2024,algodao,0.0
