ano,uf,cultura,conab_ha
2011,SC,Soja (em grão),458200.0
2011,SE,Soja (em grão),0.0
2011,SP,Soja (em grão),612800.0
2011,SP,Soja (em grão),613000.0
2011,TO,Soja (em grão),405000.0
2011,TO,Soja (em grão),404700.0
2012,AC,Soja (em grão),0.0
2012,AL,Soja (em grão),0.0
2012,AM,Soja (em grão),0.0
2012,AP,Soja (em grão),0.0
2012,BA,Soja (em grão),1112800.0
2012,BA,Soja (em grão),1113000.0
2012,CE,Soja (em grão),0.0
2012,DF,Soja (em grão),55000.0
2012,DF,Soja (em grão),55000.0
2012,ES,Soja (em grão),0.0
2012,GO,Soja (em grão),2644700.0
2012,GO,Soja (em grão),2645000.0
2012,MA,Soja (em grão),560000.0
2012,MA,Soja (em grão),559700.0
2012,MG,Soja (em grão),1024000.0
2012,MG,Soja (em grão),1024000.0
2012,MS,Soja (em grão),1815000.0
2012,MS,Soja (em grão),1815000.0
2012,MT,Soja (em grão),6980500.0
2012,MT,Soja (em grão),6980000.0
2012,PA,Soja (em grão),119000.0
2012,PA,Soja (em grão),119200.0
2012,PB,Soja (em grão),0.0
2012,PE,Soja (em grão),0.0
2012,PI,Soja (em grão),444600.0
2012,PI,Soja (em grão),445000.0
2012,PR,Soja (em grão),4461000.0
2012,PR,Soja (em grão),4460600.0
2012,RJ,Soja (em grão),0.0
2012,RN,Soja (em grão),0.0
2012,RO,Soja (em grão),143500.0
2012,RO,Soja (em grão),144000.0
2012,RR,Soja (em grão),4000.0
2012,RR,Soja (em grão),3700.0
2012,RS,Soja (em grão),4197200.0
2012,RS,Soja (em grão),4197000.0
2012,SC,Soja (em grão),448000.0
2012,SC,Soja (em grão),448300.0
2012,SE,Soja (em grão),0.0
2012,SP,Soja (em grão),582200.0
2012,SP,Soja (em grão),582000.0
2012,TO,Soja (em grão),451000.0
2012,TO,Soja (em grão),451200.0
2013,AC,Soja (em grão),0.0
2013,AL,Soja (em grão),0.0
2013,AM,Soja (em grão),0.0
2013,AP,Soja (em grão),0.0
2013,BA,Soja (em grão),1281900.0
2013,BA,Soja (em grão),1282000.0
2013,CE,Soja (em grão),0.0
2013,DF,Soja (em grão),55000.0
2013,DF,Soja (em grão),55000.0
2013,ES,Soja (em grão),0.0
2013,GO,Soja (em grão),2888000.0
2013,GO,Soja (em grão),2888000.0
2013,MA,Soja (em grão),586000.0
2013,MA,Soja (em grão),586000.0
2013,MG,Soja (em grão),1121200.0
2013,MG,Soja (em grão),1121000.0
2013,MS,Soja (em grão),2017000.0
2013,MS,Soja (em grão),2017000.0
2013,MT,Soja (em grão),7818200.0
2013,MT,Soja (em grão),7818000.0
2013,PA,Soja (em grão),172000.0
2013,PA,Soja (em grão),172200.0
2013,PB,Soja (em grão),0.0
2013,PE,Soja (em grão),0.0
2013,PI,Soja (em grão),546400.0
2013,PI,Soja (em grão),546000.0
2013,PR,Soja (em grão),4753000.0
2013,PR,Soja (em grão),4752800.0
2013,RJ,Soja (em grão),0.0
2013,RN,Soja (em grão),0.0
2013,RO,Soja (em grão),167700.0
2013,RO,Soja (em grão),168000.0
2013,RR,Soja (em grão),12000.0
2013,RR,Soja (em grão),12000.0
2013,RS,Soja (em grão),4618600.0
2013,RS,Soja (em grão),4619000.0
2013,SC,Soja (em grão),512000.0
2013,SC,Soja (em grão),512500.0
2013,SE,Soja (em grão),0.0
2013,SP,Soja (em grão),637000.0
2013,SP,Soja (em grão),637000.0
2013,TO,Soja (em grão),550000.0
2013,TO,Soja (em grão),549600.0
2014,AC,Soja (em grão),0.0
2014,AL,Soja (em grão),0.0
2014,AM,Soja (em grão),0.0
2014,AP,Soja (em grão),0.0
2014,BA,Soja (em grão),1312700.0
2014,BA,Soja (em grão),1313000.0
2014,CE,Soja (em grão),0.0
2014,DF,Soja (em grão),72000.0
2014,DF,Soja (em grão),72000.0
2014,ES,Soja (em grão),0.0
2014,GO,Soja (em grão),3101700.0
2014,GO,Soja (em grão),3102000.0
2014,MA,Soja (em grão),662000.0
2014,MA,Soja (em grão),662200.0
2014,MG,Soja (em grão),1238200.0
2014,MG,Soja (em grão),1238000.0
2014,MS,Soja (em grão),2120000.0
2014,MS,Soja (em grão),2120000.0
2014,MT,Soja (em grão),8616000.0
2014,MT,Soja (em grão),8615700.0
2014,PA,Soja (em grão),221400.0
2014,PA,Soja (em grão),221000.0
2014,PB,Soja (em grão),0.0
2014,PE,Soja (em grão),0.0
2014,PI,Soja (em grão),627300.0
2014,PI,Soja (em grão),627000.0
2014,PR,Soja (em grão),5010000.0
2014,PR,Soja (em grão),5010400.0
2014,RJ,Soja (em grão),0.0
2014,RN,Soja (em grão),0.0
2014,RO,Soja (em grão),191100.0
2014,RO,Soja (em grão),191000.0
2014,RR,Soja (em grão),18000.0
2014,RR,Soja (em grão),18000.0
2014,RS,Soja (em grão),4939600.0
2014,RS,Soja (em grão),4940000.0
2014,SC,Soja (em grão),543000.0
2014,SC,Soja (em grão),542700.0
2014,SE,Soja (em grão),0.0
2014,SP,Soja (em grão),751700.0
2014,SP,Soja (em grão),752000.0
2014,TO,Soja (em grão),748000.0
2014,TO,Soja (em grão),748400.0
2015,AC,Soja (em grão),0.0
2015,AL,Soja (em grão),0.0
2015,AM,Soja (em grão),0.0
2015,AP,Soja (em grão),0.0
2015,BA,Soja (em grão),1422000.0
2015,BA,Soja (em grão),1422000.0
2015,CE,Soja (em grão),0.0
2015,DF,Soja (em grão),56100.0
2015,DF,Soja (em grão),56000.0
2015,ES,Soja (em grão),0.0
2015,GO,Soja (em grão),3325000.0
2015,GO,Soja (em grão),3325000.0
2015,MA,Soja (em grão),750000.0
2015,MA,Soja (em grão),749600.0
2015,MG,Soja (em grão),1319400.0
2015,MG,Soja (em grão),1319000.0
2015,MS,Soja (em grão),2300500.0
2015,MS,Soja (em grão),2300000.0
2015,MT,Soja (em grão),8934000.0
2015,MT,Soja (em grão),8934500.0
2015,PA,Soja (em grão),336300.0
2015,PA,Soja (em grão),336000.0
2015,PB,Soja (em grão),0.0
2015,PE,Soja (em grão),0.0
2015,PI,Soja (em grão),673700.0
2015,PI,Soja (em grão),674000.0
2015,PR,Soja (em grão),5225000.0
2015,PR,Soja (em grão),5224800.0
2015,RJ,Soja (em grão),0.0
2015,RN,Soja (em grão),0.0
2015,RO,Soja (em grão),231500.0
2015,RO,Soja (em grão),232000.0
2015,RR,Soja (em grão),24000.0
2015,RR,Soja (em grão),23800.0
2015,RS,Soja (em grão),5249200.0
2015,RS,Soja (em grão),5249000.0
2015,SC,Soja (em grão),600000.0
2015,SC,Soja (em grão),600100.0
2015,SE,Soja (em grão),0.0
2015,SP,Soja (em grão),796800.0
2015,SP,Soja (em grão),797000.0
2015,TO,Soja (em grão),850000.0
2015,TO,Soja (em grão),849600.0
2016,AC,Soja (em grão),0.0
2016,AL,Soja (em grão),0.0
2016,AM,Soja (em grão),0.0
2016,AP,Soja (em grão),0.0
2016,BA,Soja (em grão),1526900.0
2016,BA,Soja (em grão),1526900.0
2016,CE,Soja (em grão),0.0
2016,DF,Soja (em grão),70000.0
2016,DF,Soja (em grão),70000.0
2016,ES,Soja (em grão),0.0
2016,GO,Soja (em grão),3285100.0
2016,GO,Soja (em grão),3285100.0
2016,MA,Soja (em grão),786300.0
2016,MA,Soja (em grão),786300.0
2016,MG,Soja (em grão),1469300.0
2016,MG,Soja (em grão),1469300.0
2016,MS,Soja (em grão),2430000.0
2016,MS,Soja (em grão),2430000.0
2016,MT,Soja (em grão),9140000.0
2016,MT,Soja (em grão),9140000.0
