ano_par,origem_id,destino_id,area_ha
2008,1 - Culturas perenes,1 - Culturas perenes,7270.33
2008,4 - Milho 1ª safra,4 - Milho 1ª safra,968.7
2008,5 - Cana-de-açúcar,5 - Cana-de-açúcar,4914.98
2008,6 - Outra agropecuária,6 - Outra agropecuária,562002.99
2008,7 - Pastagem deg. média,7 - Pastagem deg. média,883334.81
2008,8 - Pastagem deg. alta,8 - Pastagem deg. alta,220921.04
2008,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,799704.31
2008,10 - Silvicultura,10 - Silvicultura,375385.71
2008,11 - Veg. prim. florestal,11 - Veg. prim. florestal,1476260.72
2008,12 - Veg. sec. florestal,12 - Veg. sec. florestal,120972.52
2008,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,82925.46
2008,15 - Outro,15 - Outro,64185.66
2009,1 - Culturas perenes,1 - Culturas perenes,7270.33
2009,4 - Milho 1ª safra,4 - Milho 1ª safra,968.7
2009,5 - Cana-de-açúcar,5 - Cana-de-açúcar,4914.98
2009,6 - Outra agropecuária,6 - Outra agropecuária,562002.99
2009,7 - Pastagem deg. média,5 - Cana-de-açúcar,318.59
2009,7 - Pastagem deg. média,6 - Outra agropecuária,15.7
2009,7 - Pastagem deg. média,7 - Pastagem deg. média,409663.47
2009,7 - Pastagem deg. média,8 - Pastagem deg. alta,102456.37
2009,7 - Pastagem deg. média,9 - Pastagem deg. baixa,370878.22
2009,7 - Pastagem deg. média,12 - Veg. sec. florestal,2.46
2009,8 - Pastagem deg. alta,5 - Cana-de-açúcar,79.68
2009,8 - Pastagem deg. alta,6 - Outra agropecuária,3.93
2009,8 - Pastagem deg. alta,7 - Pastagem deg. média,102456.37
2009,8 - Pastagem deg. alta,8 - Pastagem deg. alta,25624.22
2009,8 - Pastagem deg. alta,9 - Pastagem deg. baixa,92756.23
2009,8 - Pastagem deg. alta,12 - Veg. sec. florestal,0.62
