ano_par,origem_id,destino_id,area_ha
2009,2 - Soja,12 - Veg. sec. florestal,4.05
2009,11 - Veg. prim. florestal,2 - Soja,614.78
2009,11 - Veg. prim. florestal,6 - Outra agropecuária,300.14
2009,11 - Veg. prim. florestal,12 - Veg. sec. florestal,0.8
2009,11 - Veg. prim. florestal,Pastagem,34.11
2009,12 - Veg. sec. florestal,2 - Soja,11.26
2009,12 - Veg. sec. florestal,6 - Outra agropecuária,5.5
2009,12 - Veg. sec. florestal,Pastagem,0.63
2009,Pastagem,2 - Soja,222.39
2009,Pastagem,6 - Outra agropecuária,373.77
2009,Pastagem,12 - Veg. sec. florestal,0.09
2010,2 - Soja,12 - Veg. sec. florestal,5.67
2010,11 - Veg. prim. florestal,2 - Soja,431.29
2010,11 - Veg. prim. florestal,6 - Outra agropecuária,321.17
2010,11 - Veg. prim. florestal,12 - Veg. sec. florestal,0.88
2010,11 - Veg. prim. florestal,Pastagem,18.65
2010,12 - Veg. sec. florestal,2 - Soja,7.91
2010,12 - Veg. sec. florestal,6 - Outra agropecuária,5.89
2010,12 - Veg. sec. florestal,Pastagem,0.34
2010,Pastagem,2 - Soja,140.49
2010,Pastagem,6 - Outra agropecuária,324.27
2011,2 - Soja,12 - Veg. sec. florestal,3.87
2011,11 - Veg. prim. florestal,2 - Soja,303.24
2011,11 - Veg. prim. florestal,6 - Outra agropecuária,331.61
2011,11 - Veg. prim. florestal,12 - Veg. sec. florestal,1.15
2011,11 - Veg. prim. florestal,Pastagem,19.44
2011,12 - Veg. sec. florestal,2 - Soja,5.64
2011,12 - Veg. sec. florestal,6 - Outra agropecuária,6.16
2011,12 - Veg. sec. florestal,Pastagem,0.36
2011,Pastagem,2 - Soja,122.04
2011,Pastagem,6 - Outra agropecuária,198.81
2011,Pastagem,12 - Veg. sec. florestal,0.18
2012,2 - Soja,12 - Veg. sec. florestal,10.44
2012,11 - Veg. prim. florestal,2 - Soja,225.97
2012,11 - Veg. prim. florestal,6 - Outra agropecuária,355.97
2012,11 - Veg. prim. florestal,12 - Veg. sec. florestal,0.62
2012,11 - Veg. prim. florestal,Pastagem,27.66
2012,12 - Veg. sec. florestal,2 - Soja,4.16
2012,12 - Veg. sec. florestal,6 - Outra agropecuária,6.55
2012,12 - Veg. sec. florestal,Pastagem,0.51
2012,Pastagem,2 - Soja,101.79
2012,Pastagem,6 - Outra agropecuária,302.94
2012,Pastagem,12 - Veg. sec. florestal,0.27
2013,2 - Soja,12 - Veg. sec. florestal,6.66
2013,11 - Veg. prim. florestal,2 - Soja,304.03
2013,11 - Veg. prim. florestal,6 - Outra agropecuária,292.01
2013,11 - Veg. prim. florestal,12 - Veg. sec. florestal,2.39
2013,11 - Veg. prim. florestal,Pastagem,22.54
2013,12 - Veg. sec. florestal,2 - Soja,5.57
2013,12 - Veg. sec. florestal,6 - Outra agropecuária,5.35
2013,12 - Veg. sec. florestal,Pastagem,0.41
2013,Pastagem,2 - Soja,172.53
