rgint_id,nome,uf,bioma,pressao_ha,regeneracao_ha,balanco_ha,area_agro_2024,ranking_pressao,soja_2024_ha
3303,Petrópolis,RJ,Mata Atlântica,2401.79,19654.07,17252.28,200.0,95,0.0
3510,Campinas,SP,Mata Atlântica,1435.23,27211.83,25776.6,561923.0,96,96177.0
4305,Ijuí,RS,Pampa,1419.59,32197.67,30778.09,1543628.0,97,1343555.0
3503,Bauru,SP,Mata Atlântica,1041.43,11483.99,10442.56,631043.0,98,52287.0
3302,Volta Redonda - Barra Mansa,RJ,Mata Atlântica,975.78,14872.34,13896.56,167.0,99,0.0
3304,Campos dos Goytacazes,RJ,Mata Atlântica,611.73,12227.78,11616.05,49746.0,100,440.0
2701,Maceió,AL,Caatinga,341.06,10515.3,10174.24,260863.0,101,4604.0
3106,Juíz de Fora,MG,Cerrado,308.97,77673.21,77364.24,49989.0,102,1600.0
3511,São José dos Campos,SP,Mata Atlântica,233.51,33666.45,33432.94,13131.0,103,6270.0
3502,Sorocaba,SP,Mata Atlântica,82.96,59589.7,59506.75,840497.0,104,468325.0
3507,São José do Rio Preto,SP,Mata Atlântica,80.76,26298.41,26217.65,1020489.0,105,66282.0
3305,Macaé - Rio das Ostras - Cabo Frio,RJ,Mata Atlântica,46.68,5141.61,5094.93,6504.0,106,308.0
3301,Rio de Janeiro,RJ,Mata Atlântica,46.3,14840.18,14793.89,385.0,107,0.0
1101,Porto Velho,RO,Amazônia,0.0,0.0,0.0,361794.0,108,254751.0
1102,Ji-Paraná,RO,Amazônia,0.0,0.0,0.0,641993.0,109,388888.0
1301,Manaus,AM,Amazônia,0.0,0.0,0.0,5712.0,110,0.0
1302,Tefé,AM,Amazônia,0.0,0.0,0.0,1031.0,111,65.0
1303,Lábrea,AM,Amazônia,0.0,0.0,0.0,29524.0,112,24407.0
1304,Parintins,AM,Amazônia,0.0,0.0,0.0,164.0,113,0.0
1401,Boa Vista,RR,Amazônia,0.0,0.0,0.0,128401.0,114,112590.0
1402,Rorainópolis - Caracaraí,RR,Amazônia,0.0,0.0,0.0,7132.0,115,4625.0
1501,Belém,PA,Amazônia,0.0,0.0,0.0,46151.0,116,22500.0
1502,Castanhal,PA,Amazônia,0.0,0.0,0.0,631872.0,117,513500.0
1503,Marabá,PA,Amazônia,0.0,0.0,0.0,175769.0,118,98471.0
1504,Redenção,PA,Amazônia,0.0,0.0,0.0,563260.0,119,387461.0
1505,Santarém,PA,Amazônia,0.0,0.0,0.0,235963.0,120,154692.0
1506,Altamira,PA,Amazônia,0.0,0.0,0.0,36699.0,121,17400.0
1507,Breves,PA,Amazônia,0.0,0.0,0.0,38.0,122,0.0
1601,Macapá,AP,Amazônia,0.0,0.0,0.0,6421.0,123,5500.0
1602,Oiapoque - Porto Grande,AP,Amazônia,0.0,0.0,0.0,3099.0,124,2000.0
2101,São Luís,MA,Cerrado,0.0,0.0,0.0,90007.0,125,68721.0
2102,Santa Inês - Bacabal,MA,Cerrado,0.0,0.0,0.0,79424.0,126,42079.0
3504,Marília,SP,Mata Atlântica,0.0,17247.05,17247.05,921512.0,127,315829.0
3505,Presidente Prudente,SP,Mata Atlântica,0.0,26815.73,26815.73,741474.0,128,103765.0
3506,Araçatuba,SP,Mata Atlântica,0.0,15589.8,15589.8,728201.0,129,72849.0
4104,Maringá,PR,Mata Atlântica,0.0,84931.1,84931.1,2530133.0,130,1264932.0
4105,Londrina,PR,Mata Atlântica,0.0,71411.37,71411.37,2068415.0,131,1216179.0
5102,Cáceres,MT,Cerrado,0.0,0.0,0.0,874176.0,132,564162.0
5103,Sinop,MT,Cerrado,0.0,0.0,0.0,8589747.0,133,4720665.0
