ano,classe,area_ha,bioma
2009,6 - Outra agropecuária,15109102.85,Mata Atlântica
2009,6 - Outra agropecuária,5826989.21,Pampa
2009,7 - Pastagem deg. média,4653798.29,Amazônia
2009,7 - Pastagem deg. média,1817316.81,Caatinga
2009,7 - Pastagem deg. média,20120211.83,Cerrado
2009,7 - Pastagem deg. média,3134753.25,Mata Atlântica
2009,7 - Pastagem deg. média,111188.9,Pampa
2009,8 - Pastagem deg. alta,320705.93,Amazônia
2009,8 - Pastagem deg. alta,907535.65,Caatinga
2009,8 - Pastagem deg. alta,12314684.64,Cerrado
2009,8 - Pastagem deg. alta,1430365.28,Mata Atlântica
2009,8 - Pastagem deg. alta,10373.45,Pampa
2009,9 - Pastagem deg. baixa,7131989.32,Amazônia
2009,9 - Pastagem deg. baixa,1317063.94,Caatinga
2009,9 - Pastagem deg. baixa,8505048.8,Cerrado
2009,9 - Pastagem deg. baixa,2205272.31,Mata Atlântica
2009,9 - Pastagem deg. baixa,63855.25,Pampa
2010,1 - Culturas perenes,6933.67,Amazônia
2010,1 - Culturas perenes,372638.7,Caatinga
2010,1 - Culturas perenes,772428.91,Cerrado
2010,1 - Culturas perenes,552699.51,Mata Atlântica
2010,1 - Culturas perenes,7981.62,Pampa
2010,10 - Silvicultura,151098.52,Amazônia
2010,10 - Silvicultura,204483.96,Caatinga
2010,10 - Silvicultura,2737737.75,Cerrado
2010,10 - Silvicultura,2687491.38,Mata Atlântica
2010,10 - Silvicultura,883177.65,Pampa
2010,11 - Veg. prim. florestal,318149636.63,Amazônia
2010,11 - Veg. prim. florestal,23230890.67,Caatinga
2010,11 - Veg. prim. florestal,208158537.86,Cerrado
2010,11 - Veg. prim. florestal,17702288.18,Mata Atlântica
2010,11 - Veg. prim. florestal,14287266.67,Pampa
2010,15 - Outro,10255759.97,Amazônia
2010,15 - Outro,1704277.96,Caatinga
2010,15 - Outro,6955796.81,Cerrado
2010,15 - Outro,3238866.88,Mata Atlântica
2010,15 - Outro,1004944.94,Pampa
2010,2 - Soja,84891.9,Amazônia
2010,2 - Soja,5.4,Caatinga
2010,2 - Soja,4036453.08,Cerrado
2010,2 - Soja,2632420.21,Mata Atlântica
2010,2 - Soja,5129468.28,Pampa
2010,3 - Soja + Milho 2ª safra,24587.52,Amazônia
2010,3 - Soja + Milho 2ª safra,0.0,Caatinga
2010,3 - Soja + Milho 2ª safra,9548087.07,Cerrado
2010,3 - Soja + Milho 2ª safra,2955623.81,Mata Atlântica
2010,3 - Soja + Milho 2ª safra,0.0,Pampa
2010,4 - Milho 1ª safra,373711.97,Amazônia
2010,4 - Milho 1ª safra,1169685.0,Caatinga
2010,4 - Milho 1ª safra,2949213.65,Cerrado
2010,4 - Milho 1ª safra,2040880.78,Mata Atlântica
2010,4 - Milho 1ª safra,1151397.0,Pampa
2010,5 - Cana-de-açúcar,53794.37,Amazônia
2010,5 - Cana-de-açúcar,1242366.93,Caatinga
2010,5 - Cana-de-açúcar,1818810.92,Cerrado
2010,5 - Cana-de-açúcar,6479019.06,Mata Atlântica
2010,5 - Cana-de-açúcar,70782.86,Pampa
2010,6 - Outra agropecuária,485837.91,Amazônia
2010,6 - Outra agropecuária,6257464.52,Caatinga
2010,6 - Outra agropecuária,25337428.42,Cerrado
2010,6 - Outra agropecuária,14848814.91,Mata Atlântica
2010,6 - Outra agropecuária,5855771.05,Pampa
2010,7 - Pastagem deg. média,4677571.34,Amazônia
2010,7 - Pastagem deg. média,1851488.87,Caatinga
2010,7 - Pastagem deg. média,20281555.86,Cerrado
2010,7 - Pastagem deg. média,2991688.26,Mata Atlântica
2010,7 - Pastagem deg. média,99537.87,Pampa
2010,8 - Pastagem deg. alta,306732.85,Amazônia
2010,8 - Pastagem deg. alta,981660.84,Caatinga
2010,8 - Pastagem deg. alta,11774928.25,Cerrado
2010,8 - Pastagem deg. alta,1170636.06,Mata Atlântica
