periodo,origem_id,origem_nome,destino_id,destino_nome,area_ha
2008_2017,11 - Veg. prim. florestal,11 - Veg. prim. florestal,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,24975.07
2008_2017,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,2 - Soja,2 - Soja,20000.27
2008_2017,11 - Veg. prim. florestal,11 - Veg. prim. florestal,12 - Veg. sec. florestal,12 - Veg. sec. florestal,19086.27
2008_2017,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,8307.67
2008_2017,11 - Veg. prim. florestal,11 - Veg. prim. florestal,5 - Cana-de-açúcar,5 - Cana-de-açúcar,7987.76
2008_2017,7 - Pastagem deg. média,7 - Pastagem deg. média,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,7927.89
2008_2017,8 - Pastagem deg. alta,8 - Pastagem deg. alta,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,7174.38
2008_2017,12 - Veg. sec. florestal,12 - Veg. sec. florestal,6 - Outra agropecuária,6 - Outra agropecuária,6325.46
2008_2017,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,4676.13
2008_2017,12 - Veg. sec. florestal,12 - Veg. sec. florestal,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,2206.92
2008_2017,2 - Soja,2 - Soja,12 - Veg. sec. florestal,12 - Veg. sec. florestal,2029.61
2008_2017,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,12 - Veg. sec. florestal,12 - Veg. sec. florestal,1801.15
2008_2017,12 - Veg. sec. florestal,12 - Veg. sec. florestal,2 - Soja,2 - Soja,1657.37
2008_2017,11 - Veg. prim. florestal,11 - Veg. prim. florestal,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,1537.84
2008_2017,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,12 - Veg. sec. florestal,12 - Veg. sec. florestal,1537.84
2008_2017,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,677.27
2008_2017,12 - Veg. sec. florestal,12 - Veg. sec. florestal,5 - Cana-de-açúcar,5 - Cana-de-açúcar,645.56
2008_2017,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,350.29
2008_2017,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,5 - Cana-de-açúcar,5 - Cana-de-açúcar,320.53
2008_2017,12 - Veg. sec. florestal,12 - Veg. sec. florestal,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,131.62
