ano,classe,area_ha,bioma
2009,13 - Veg. prim. não-florestal,99091570.23,Cerrado
2009,13 - Veg. prim. não-florestal,36054.99,Mata Atlântica
2009,13 - Veg. prim. não-florestal,0.0,Pampa
2009,14 - Veg. sec. não-florestal,0.0,Amazônia
2009,14 - Veg. sec. não-florestal,0.0,Caatinga
2009,14 - Veg. sec. não-florestal,5506834.68,Cerrado
2009,14 - Veg. sec. não-florestal,0.0,Mata Atlântica
2009,14 - Veg. sec. não-florestal,0.0,Pampa
2009,15 - Outro,10558164.58,Amazônia
2009,15 - Outro,1753237.72,Caatinga
2009,15 - Outro,6847902.46,Cerrado
2009,15 - Outro,3224159.3,Mata Atlântica
2009,15 - Outro,996818.26,Pampa
2009,2 - Soja Safra Única,95027.01,Amazônia
2009,2 - Soja Safra Única,19.17,Caatinga
2009,2 - Soja Safra Única,4345460.07,Cerrado
2009,2 - Soja Safra Única,2878743.71,Mata Atlântica
2009,2 - Soja Safra Única,5008387.41,Pampa
2009,3 - Soja + Milho 2ª Safra,14545.74,Amazônia
2009,3 - Soja + Milho 2ª Safra,0.0,Caatinga
2009,3 - Soja + Milho 2ª Safra,8540872.14,Cerrado
2009,3 - Soja + Milho 2ª Safra,2644516.87,Mata Atlântica
2009,3 - Soja + Milho 2ª Safra,0.0,Pampa
2009,4 - Milho 1ª safra,416386.85,Amazônia
2009,4 - Milho 1ª safra,1549048.0,Caatinga
2009,4 - Milho 1ª safra,3358241.81,Cerrado
2009,4 - Milho 1ª safra,2516804.04,Mata Atlântica
2009,4 - Milho 1ª safra,1385754.0,Pampa
2009,5 - Cana-de-açúcar,52722.25,Amazônia
2009,5 - Cana-de-açúcar,1235105.93,Caatinga
2009,5 - Cana-de-açúcar,1638279.22,Cerrado
2009,5 - Cana-de-açúcar,6362306.76,Mata Atlântica
2009,5 - Cana-de-açúcar,68310.68,Pampa
2009,6 - Outra agropecuária,472486.44,Amazônia
2009,6 - Outra agropecuária,6266019.52,Caatinga
2009,6 - Outra agropecuária,25792461.86,Cerrado
2009,6 - Outra agropecuária,15109102.85,Mata Atlântica
2009,6 - Outra agropecuária,5826989.21,Pampa
2009,7 - Pastagem de Baixo Vigor,2694407.21,Amazônia
2009,7 - Pastagem de Baixo Vigor,3493482.99,Caatinga
2009,7 - Pastagem de Baixo Vigor,35738633.43,Cerrado
2009,7 - Pastagem de Baixo Vigor,4089014.54,Mata Atlântica
2009,7 - Pastagem de Baixo Vigor,1655264.22,Pampa
2009,8 - Pastagem de Médio Vigor,10904654.72,Amazônia
2009,8 - Pastagem de Médio Vigor,5750862.13,Caatinga
2009,8 - Pastagem de Médio Vigor,48526305.04,Cerrado
2009,8 - Pastagem de Médio Vigor,7297990.86,Mata Atlântica
2009,8 - Pastagem de Médio Vigor,4188592.12,Pampa
2009,9 - Pastagem de Alto Vigor,13511470.46,Amazônia
2009,9 - Pastagem de Alto Vigor,4161836.75,Caatinga
2009,9 - Pastagem de Alto Vigor,29172608.83,Cerrado
2009,9 - Pastagem de Alto Vigor,5261924.96,Mata Atlântica
2009,9 - Pastagem de Alto Vigor,3396242.37,Pampa
2010,1 - Culturas perenes,6933.67,Amazônia
2010,1 - Culturas perenes,372638.7,Caatinga
2010,1 - Culturas perenes,772428.91,Cerrado
2010,1 - Culturas perenes,552699.51,Mata Atlântica
2010,1 - Culturas perenes,7981.62,Pampa
2010,10 - Silvicultura,151098.52,Amazônia
2010,10 - Silvicultura,204483.96,Caatinga
2010,10 - Silvicultura,2737737.75,Cerrado
2010,10 - Silvicultura,2687491.38,Mata Atlântica
2010,10 - Silvicultura,883177.65,Pampa
2010,11 - Veg. prim. florestal,14383295.06,Amazônia
2010,11 - Veg. prim. florestal,1431492.72,Caatinga
2010,11 - Veg. prim. florestal,42330943.13,Cerrado
2010,11 - Veg. prim. florestal,16343063.82,Mata Atlântica
2010,11 - Veg. prim. florestal,5245563.12,Pampa
2010,12 - Veg. sec. florestal,486116.22,Amazônia
2010,12 - Veg. sec. florestal,20072.38,Caatinga
2010,12 - Veg. sec. florestal,3322736.51,Cerrado
2010,12 - Veg. sec. florestal,634403.08,Mata Atlântica
2010,12 - Veg. sec. florestal,311845.81,Pampa
2010,13 - Veg. prim. não-florestal,60.84,Amazônia
2010,13 - Veg. prim. não-florestal,21725815.05,Caatinga
2010,13 - Veg. prim. não-florestal,98643211.52,Cerrado
2010,13 - Veg. prim. não-florestal,36769.68,Mata Atlântica
2010,13 - Veg. prim. não-florestal,0.0,Pampa
2010,14 - Veg. sec. não-florestal,0.0,Amazônia
2010,14 - Veg. sec. não-florestal,0.0,Caatinga
2010,14 - Veg. sec. não-florestal,5479450.61,Cerrado
2010,14 - Veg. sec. não-florestal,0.0,Mata Atlântica
2010,14 - Veg. sec. não-florestal,0.0,Pampa
2010,15 - Outro,10255759.97,Amazônia
2010,15 - Outro,1704277.96,Caatinga
2010,15 - Outro,6955796.81,Cerrado
2010,15 - Outro,3238866.88,Mata Atlântica
2010,15 - Outro,1004944.94,Pampa
2010,2 - Soja Safra Única,84891.9,Amazônia
2010,2 - Soja Safra Única,5.4,Caatinga
2010,2 - Soja Safra Única,4036453.08,Cerrado
2010,2 - Soja Safra Única,2632420.21,Mata Atlântica
2010,2 - Soja Safra Única,5129468.28,Pampa
2010,3 - Soja + Milho 2ª Safra,24587.52,Amazônia
2010,3 - Soja + Milho 2ª Safra,0.0,Caatinga
2010,3 - Soja + Milho 2ª Safra,9548087.07,Cerrado
