periodo,origem_id,origem_nome,destino_id,destino_nome,area_ha
2017_2024,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,2 - Soja,2 - Soja,124791.28
2017_2024,2 - Soja,2 - Soja,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,124791.28
2017_2024,12 - Veg. sec. florestal,12 - Veg. sec. florestal,Pastagem,Pastagem,120668.03
2017_2024,Pastagem,Pastagem,12 - Veg. sec. florestal,12 - Veg. sec. florestal,108616.44
2017_2024,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,6 - Outra agropecuária,6 - Outra agropecuária,88343.72
2017_2024,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,2 - Soja,2 - Soja,70930.81
2017_2024,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,47804.36
2017_2024,11 - Veg. prim. florestal,11 - Veg. prim. florestal,6 - Outra agropecuária,6 - Outra agropecuária,44667.67
2017_2024,11 - Veg. prim. florestal,11 - Veg. prim. florestal,12 - Veg. sec. florestal,12 - Veg. sec. florestal,23294.06
2017_2024,11 - Veg. prim. florestal,11 - Veg. prim. florestal,2 - Soja,2 - Soja,17489.7
2017_2024,11 - Veg. prim. florestal,11 - Veg. prim. florestal,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,13706.46
2017_2024,Pastagem,Pastagem,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,13384.32
2017_2024,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,2 - Soja,2 - Soja,4509.91
2017_2024,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,6 - Outra agropecuária,6 - Outra agropecuária,4072.95
2017_2024,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,3520.86
2017_2024,12 - Veg. sec. florestal,12 - Veg. sec. florestal,6 - Outra agropecuária,6 - Outra agropecuária,2607.9
2017_2024,11 - Veg. prim. florestal,11 - Veg. prim. florestal,5 - Cana-de-açúcar,5 - Cana-de-açúcar,2494.07
2017_2024,12 - Veg. sec. florestal,12 - Veg. sec. florestal,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,1073.23
2017_2024,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,12 - Veg. sec. florestal,12 - Veg. sec. florestal,890.99
2017_2024,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,12 - Veg. sec. florestal,12 - Veg. sec. florestal,877.82
2017_2024,11 - Veg. prim. florestal,11 - Veg. prim. florestal,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,877.82
2017_2024,12 - Veg. sec. florestal,12 - Veg. sec. florestal,2 - Soja,2 - Soja,768.23
2017_2024,2 - Soja,2 - Soja,12 - Veg. sec. florestal,12 - Veg. sec. florestal,755.57
2017_2024,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,274.4
2017_2024,12 - Veg. sec. florestal,12 - Veg. sec. florestal,5 - Cana-de-açúcar,5 - Cana-de-açúcar,194.61
2017_2024,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,176.14
2017_2024,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,5 - Cana-de-açúcar,5 - Cana-de-açúcar,154.88
2017_2024,12 - Veg. sec. florestal,12 - Veg. sec. florestal,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,67.34
2017_2024,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,12 - Veg. sec. florestal,12 - Veg. sec. florestal,67.34
2017_2024,2 - Soja,2 - Soja,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,19.15
2017_2024,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,5 - Cana-de-açúcar,5 - Cana-de-açúcar,15.11
2008_2024,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,Pastagem,Pastagem,13621139.97
2008_2024,Pastagem,Pastagem,6 - Outra agropecuária,6 - Outra agropecuária,8136068.31
2008_2024,11 - Veg. prim. florestal,11 - Veg. prim. florestal,Pastagem,Pastagem,3969750.8
2008_2024,Pastagem,Pastagem,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,3031996.44
2008_2024,Pastagem,Pastagem,5 - Cana-de-açúcar,5 - Cana-de-açúcar,1706770.89
2008_2024,Pastagem,Pastagem,2 - Soja,2 - Soja,1036720.59
2008_2024,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,6 - Outra agropecuária,6 - Outra agropecuária,889437.18
2008_2024,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,2 - Soja,2 - Soja,699830.01
2008_2024,2 - Soja,2 - Soja,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,699830.01
2008_2024,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,Pastagem,Pastagem,682021.57
2008_2024,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,2 - Soja,2 - Soja,361120.88
2008_2024,12 - Veg. sec. florestal,12 - Veg. sec. florestal,Pastagem,Pastagem,275649.9
2008_2024,Pastagem,Pastagem,12 - Veg. sec. florestal,12 - Veg. sec. florestal,235799.75
2008_2024,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,148694.64
2008_2024,11 - Veg. prim. florestal,11 - Veg. prim. florestal,6 - Outra agropecuária,6 - Outra agropecuária,138804.83
2008_2024,11 - Veg. prim. florestal,11 - Veg. prim. florestal,2 - Soja,2 - Soja,52737.37
2008_2024,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,6 - Outra agropecuária,6 - Outra agropecuária,46918.55
2008_2024,11 - Veg. prim. florestal,11 - Veg. prim. florestal,12 - Veg. sec. florestal,12 - Veg. sec. florestal,42380.32
2008_2024,11 - Veg. prim. florestal,11 - Veg. prim. florestal,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,38681.53
2008_2024,Pastagem,Pastagem,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,33162.73
2008_2024,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,2 - Soja,2 - Soja,24510.17
2008_2024,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,11828.53
2008_2024,11 - Veg. prim. florestal,11 - Veg. prim. florestal,5 - Cana-de-açúcar,5 - Cana-de-açúcar,10481.83
2008_2024,12 - Veg. sec. florestal,12 - Veg. sec. florestal,6 - Outra agropecuária,6 - Outra agropecuária,8933.36
2008_2024,12 - Veg. sec. florestal,12 - Veg. sec. florestal,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,3280.16
2008_2024,2 - Soja,2 - Soja,12 - Veg. sec. florestal,12 - Veg. sec. florestal,2785.18
2008_2024,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,12 - Veg. sec. florestal,12 - Veg. sec. florestal,2692.14
2008_2024,12 - Veg. sec. florestal,12 - Veg. sec. florestal,2 - Soja,2 - Soja,2425.59
2008_2024,11 - Veg. prim. florestal,11 - Veg. prim. florestal,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,2415.65
2008_2024,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,12 - Veg. sec. florestal,12 - Veg. sec. florestal,2415.65
2008_2024,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,951.67
2008_2024,12 - Veg. sec. florestal,12 - Veg. sec. florestal,5 - Cana-de-açúcar,5 - Cana-de-açúcar,840.18
2008_2024,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,526.43
2008_2024,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,5 - Cana-de-açúcar,5 - Cana-de-açúcar,475.41
2008_2024,12 - Veg. sec. florestal,12 - Veg. sec. florestal,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,198.96
2008_2024,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,12 - Veg. sec. florestal,12 - Veg. sec. florestal,198.96
2008_2024,2 - Soja,2 - Soja,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,97.26
2008_2024,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,5 - Cana-de-açúcar,5 - Cana-de-açúcar,50.81
