rgint_id,nome,uf,bioma,pressao_ha,regeneracao_ha,balanco_ha,area_agro_2024,ranking_pressao,soja_2024_ha
3503,Bauru,SP,Mata Atlântica,1289.07,11465.01,10175.94,1249066.26,120,57497.04
3302,Volta Redonda - Barra Mansa,RJ,Mata Atlântica,1100.61,14937.84,13837.23,114542.09,121,82.26
3502,Sorocaba,SP,Mata Atlântica,806.22,59639.22,58833.0,1718222.54,122,564189.12
3106,Juíz de Fora,MG,Cerrado,774.81,78420.24,77645.43,769500.59,123,0.0
3304,Campos dos Goytacazes,RJ,Mata Atlântica,732.78,12396.06,11663.28,218193.7,124,0.0
3511,São José dos Campos,SP,Mata Atlântica,386.1,33630.75,33244.65,277727.09,125,5248.71
4105,Londrina,PR,Mata Atlântica,249.03,71480.34,71231.31,2206017.21,126,1261092.87
3507,São José do Rio Preto,SP,Mata Atlântica,85.5,26344.89,26259.39,1703024.79,127,36143.28
3305,Macaé - Rio das Ostras - Cabo Frio,RJ,Mata Atlântica,82.26,5251.41,5169.15,86767.65,128,0.0
3504,Marília,SP,Mata Atlântica,66.51,17313.66,17247.15,1400081.13,129,377322.48
4104,Maringá,PR,Mata Atlântica,51.03,85266.45,85215.42,2788359.18,130,1303125.75
3301,Rio de Janeiro,RJ,Mata Atlântica,21.78,15103.8,15082.02,220640.8,131,236.61
3505,Presidente Prudente,SP,Mata Atlântica,0.0,27264.96,27264.96,1221982.92,132,104284.26
3506,Araçatuba,SP,Mata Atlântica,0.0,15722.64,15722.64,1172134.0,133,51125.58
