ano_par,origem_id,destino_id,area_ha
2008,2 - Soja,2 - Soja,84742.88
2008,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,10660.72
2008,4 - Milho 1ª safra,4 - Milho 1ª safra,20841.16
2008,5 - Cana-de-açúcar,5 - Cana-de-açúcar,0.09
2008,6 - Outra agropecuária,6 - Outra agropecuária,187010.26
2008,7 - Pastagem deg. média,7 - Pastagem deg. média,668032.4
2008,8 - Pastagem deg. alta,8 - Pastagem deg. alta,643123.01
2008,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,520008.16
2008,10 - Silvicultura,10 - Silvicultura,14202.1
2008,11 - Veg. prim. florestal,11 - Veg. prim. florestal,1444507.32
2008,12 - Veg. sec. florestal,12 - Veg. sec. florestal,64001.4
2008,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,4832153.65
2008,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,214096.94
2008,15 - Outro,15 - Outro,173517.04
2009,2 - Soja,2 - Soja,84731.92
2009,2 - Soja,12 - Veg. sec. florestal,8.07
2009,2 - Soja,14 - Veg. sec. não-florestal,2.88
2009,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,10659.35
2009,3 - Soja + Milho 2ª safra,12 - Veg. sec. florestal,1.02
2009,3 - Soja + Milho 2ª safra,14 - Veg. sec. não-florestal,0.36
2009,4 - Milho 1ª safra,4 - Milho 1ª safra,20841.16
2009,5 - Cana-de-açúcar,5 - Cana-de-açúcar,0.09
2009,6 - Outra agropecuária,6 - Outra agropecuária,187010.26
2009,7 - Pastagem deg. média,2 - Soja,3091.53
2009,7 - Pastagem deg. média,3 - Soja + Milho 2ª safra,388.92
2009,7 - Pastagem deg. média,6 - Outra agropecuária,389.01
2009,7 - Pastagem deg. média,7 - Pastagem deg. média,242208.88
2009,7 - Pastagem deg. média,8 - Pastagem deg. alta,233177.47
2009,7 - Pastagem deg. média,9 - Pastagem deg. baixa,188539.65
2009,7 - Pastagem deg. média,12 - Veg. sec. florestal,174.58
2009,7 - Pastagem deg. média,14 - Veg. sec. não-florestal,62.38
2009,8 - Pastagem deg. alta,2 - Soja,2976.25
2009,8 - Pastagem deg. alta,3 - Soja + Milho 2ª safra,374.42
2009,8 - Pastagem deg. alta,6 - Outra agropecuária,374.5
2009,8 - Pastagem deg. alta,7 - Pastagem deg. média,233177.47
2009,8 - Pastagem deg. alta,8 - Pastagem deg. alta,224482.82
2009,8 - Pastagem deg. alta,9 - Pastagem deg. baixa,181509.44
2009,8 - Pastagem deg. alta,12 - Veg. sec. florestal,168.07
2009,8 - Pastagem deg. alta,14 - Veg. sec. não-florestal,60.05
2009,9 - Pastagem deg. baixa,2 - Soja,2406.5
2009,9 - Pastagem deg. baixa,3 - Soja + Milho 2ª safra,302.74
2009,9 - Pastagem deg. baixa,6 - Outra agropecuária,302.81
2009,9 - Pastagem deg. baixa,7 - Pastagem deg. média,188539.65
2009,9 - Pastagem deg. baixa,8 - Pastagem deg. alta,181509.44
2009,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,146762.58
2009,9 - Pastagem deg. baixa,12 - Veg. sec. florestal,135.89
2009,9 - Pastagem deg. baixa,14 - Veg. sec. não-florestal,48.56
2009,10 - Silvicultura,10 - Silvicultura,14202.1
2009,11 - Veg. prim. florestal,2 - Soja,16.13
2009,11 - Veg. prim. florestal,3 - Soja + Milho 2ª safra,2.03
2009,11 - Veg. prim. florestal,6 - Outra agropecuária,38.1
2009,11 - Veg. prim. florestal,7 - Pastagem deg. média,1278.15
2009,11 - Veg. prim. florestal,8 - Pastagem deg. alta,1230.49
2009,11 - Veg. prim. florestal,9 - Pastagem deg. baixa,994.94
2009,11 - Veg. prim. florestal,11 - Veg. prim. florestal,1440933.07
2009,11 - Veg. prim. florestal,12 - Veg. sec. florestal,10.62
2009,11 - Veg. prim. florestal,14 - Veg. sec. não-florestal,3.79
2009,12 - Veg. sec. florestal,2 - Soja,0.71
2009,12 - Veg. sec. florestal,3 - Soja + Milho 2ª safra,0.09
2009,12 - Veg. sec. florestal,6 - Outra agropecuária,1.69
2009,12 - Veg. sec. florestal,7 - Pastagem deg. média,56.63
2009,12 - Veg. sec. florestal,8 - Pastagem deg. alta,54.52
2009,12 - Veg. sec. florestal,9 - Pastagem deg. baixa,44.08
2009,12 - Veg. sec. florestal,12 - Veg. sec. florestal,63843.51
2009,12 - Veg. sec. florestal,14 - Veg. sec. não-florestal,0.17
2009,13 - Veg. prim. não-florestal,2 - Soja,2240.37
2009,13 - Veg. prim. não-florestal,3 - Soja + Milho 2ª safra,281.84
2009,13 - Veg. prim. não-florestal,6 - Outra agropecuária,1180.6
2009,13 - Veg. prim. não-florestal,7 - Pastagem deg. média,21468.78
2009,13 - Veg. prim. não-florestal,8 - Pastagem deg. alta,20668.25
2009,13 - Veg. prim. não-florestal,9 - Pastagem deg. baixa,16711.67
2009,13 - Veg. prim. não-florestal,12 - Veg. sec. florestal,3.79
2009,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,4769596.99
2009,13 - Veg. prim. não-florestal,14 - Veg. sec. não-florestal,1.36
2009,14 - Veg. sec. não-florestal,2 - Soja,99.26
2009,14 - Veg. sec. não-florestal,3 - Soja + Milho 2ª safra,12.49
2009,14 - Veg. sec. não-florestal,6 - Outra agropecuária,52.31
2009,14 - Veg. sec. não-florestal,7 - Pastagem deg. média,951.21
2009,14 - Veg. sec. não-florestal,8 - Pastagem deg. alta,915.74
2009,14 - Veg. sec. não-florestal,9 - Pastagem deg. baixa,740.44
2009,14 - Veg. sec. não-florestal,12 - Veg. sec. florestal,0.17
2009,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,211325.32
2009,15 - Outro,15 - Outro,173517.04
2010,2 - Soja,2 - Soja,97298.84
2010,2 - Soja,12 - Veg. sec. florestal,9.83
2010,2 - Soja,14 - Veg. sec. não-florestal,3.52
2010,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,12933.79
2010,3 - Soja + Milho 2ª safra,12 - Veg. sec. florestal,1.31
2010,3 - Soja + Milho 2ª safra,14 - Veg. sec. não-florestal,0.47
2010,4 - Milho 1ª safra,4 - Milho 1ª safra,16911.92
2010,5 - Cana-de-açúcar,5 - Cana-de-açúcar,0.09
2010,6 - Outra agropecuária,6 - Outra agropecuária,184860.27
2010,7 - Pastagem deg. média,2 - Soja,3299.96
2010,7 - Pastagem deg. média,3 - Soja + Milho 2ª safra,438.66
2010,7 - Pastagem deg. média,6 - Outra agropecuária,217.4
2010,7 - Pastagem deg. média,7 - Pastagem deg. média,258872.16
2010,7 - Pastagem deg. média,8 - Pastagem deg. alta,235233.33
2010,7 - Pastagem deg. média,9 - Pastagem deg. baixa,197771.71
2010,7 - Pastagem deg. média,12 - Veg. sec. florestal,223.4
2010,7 - Pastagem deg. média,14 - Veg. sec. não-florestal,80.04
2010,8 - Pastagem deg. alta,2 - Soja,2998.63
2010,8 - Pastagem deg. alta,3 - Soja + Milho 2ª safra,398.6
2010,8 - Pastagem deg. alta,6 - Outra agropecuária,197.55
2010,8 - Pastagem deg. alta,7 - Pastagem deg. média,235233.33
2010,8 - Pastagem deg. alta,8 - Pastagem deg. alta,213753.07
2010,8 - Pastagem deg. alta,9 - Pastagem deg. baixa,179712.25
2010,8 - Pastagem deg. alta,12 - Veg. sec. florestal,203.0
2010,8 - Pastagem deg. alta,14 - Veg. sec. não-florestal,72.73
2010,9 - Pastagem deg. baixa,2 - Soja,2521.09
