ano_par,origem_id,destino_id,area_ha
2008,4 - Milho 1ª safra,4 - Milho 1ª safra,160218.0
2008,5 - Cana-de-açúcar,5 - Cana-de-açúcar,336.96
2008,6 - Outra agropecuária,6 - Outra agropecuária,34560.88
2008,7 - Pastagem de Baixo Vigor,5 - Cana-de-açúcar,0.32
2008,7 - Pastagem de Baixo Vigor,6 - Outra agropecuária,1150.35
2008,7 - Pastagem de Baixo Vigor,7 - Pastagem de Baixo Vigor,74239.8
2008,7 - Pastagem de Baixo Vigor,12 - Veg. sec. florestal,1.05
2008,7 - Pastagem de Baixo Vigor,14 - Veg. sec. não-florestal,1.05
2008,8 - Pastagem de Médio Vigor,5 - Cana-de-açúcar,1.28
2008,8 - Pastagem de Médio Vigor,6 - Outra agropecuária,4597.48
2008,8 - Pastagem de Médio Vigor,8 - Pastagem de Médio Vigor,296705.41
2008,8 - Pastagem de Médio Vigor,12 - Veg. sec. florestal,4.18
2008,8 - Pastagem de Médio Vigor,14 - Veg. sec. não-florestal,4.18
2008,9 - Pastagem de Alto Vigor,5 - Cana-de-açúcar,2.0
2008,9 - Pastagem de Alto Vigor,6 - Outra agropecuária,7176.44
2008,9 - Pastagem de Alto Vigor,9 - Pastagem de Alto Vigor,463142.93
2008,9 - Pastagem de Alto Vigor,12 - Veg. sec. florestal,6.52
2008,9 - Pastagem de Alto Vigor,14 - Veg. sec. não-florestal,6.52
2008,10 - Silvicultura,10 - Silvicultura,20.38
2008,11 - Veg. prim. florestal,7 - Pastagem de Baixo Vigor,8.71
2008,11 - Veg. prim. florestal,8 - Pastagem de Médio Vigor,31.46
2008,11 - Veg. prim. florestal,9 - Pastagem de Alto Vigor,45.78
2008,11 - Veg. prim. florestal,11 - Veg. prim. florestal,13911.25
2008,12 - Veg. sec. florestal,7 - Pastagem de Baixo Vigor,8.71
2008,12 - Veg. sec. florestal,8 - Pastagem de Médio Vigor,31.46
2008,12 - Veg. sec. florestal,9 - Pastagem de Alto Vigor,45.78
2008,12 - Veg. sec. florestal,12 - Veg. sec. florestal,13911.25
2008,13 - Veg. prim. não-florestal,6 - Outra agropecuária,17.32
2008,13 - Veg. prim. não-florestal,7 - Pastagem de Baixo Vigor,554.26
2008,13 - Veg. prim. não-florestal,8 - Pastagem de Médio Vigor,2002.12
2008,13 - Veg. prim. não-florestal,9 - Pastagem de Alto Vigor,2913.73
2008,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,154001.92
2008,14 - Veg. sec. não-florestal,6 - Outra agropecuária,17.32
2008,14 - Veg. sec. não-florestal,7 - Pastagem de Baixo Vigor,554.26
2008,14 - Veg. sec. não-florestal,8 - Pastagem de Médio Vigor,2002.12
2008,14 - Veg. sec. não-florestal,9 - Pastagem de Alto Vigor,2913.73
2008,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,154001.92
2008,15 - Outro,15 - Outro,16728.39
2009,4 - Milho 1ª safra,4 - Milho 1ª safra,162975.0
2009,5 - Cana-de-açúcar,5 - Cana-de-açúcar,337.84
2009,6 - Outra agropecuária,6 - Outra agropecuária,47955.85
2009,7 - Pastagem de Baixo Vigor,5 - Cana-de-açúcar,0.04
2009,7 - Pastagem de Baixo Vigor,6 - Outra agropecuária,877.61
2009,7 - Pastagem de Baixo Vigor,7 - Pastagem de Baixo Vigor,84094.58
2009,7 - Pastagem de Baixo Vigor,12 - Veg. sec. florestal,0.83
2009,7 - Pastagem de Baixo Vigor,14 - Veg. sec. não-florestal,0.83
2009,8 - Pastagem de Médio Vigor,5 - Cana-de-açúcar,0.13
2009,8 - Pastagem de Médio Vigor,6 - Outra agropecuária,3170.14
2009,8 - Pastagem de Médio Vigor,8 - Pastagem de Médio Vigor,303768.65
2009,8 - Pastagem de Médio Vigor,12 - Veg. sec. florestal,2.98
2009,8 - Pastagem de Médio Vigor,14 - Veg. sec. não-florestal,2.98
2009,9 - Pastagem de Alto Vigor,5 - Cana-de-açúcar,0.19
2009,9 - Pastagem de Alto Vigor,6 - Outra agropecuária,4613.57
2009,9 - Pastagem de Alto Vigor,9 - Pastagem de Alto Vigor,442081.04
2009,9 - Pastagem de Alto Vigor,12 - Veg. sec. florestal,4.34
2009,9 - Pastagem de Alto Vigor,14 - Veg. sec. não-florestal,4.34
2009,10 - Silvicultura,10 - Silvicultura,28.63
2009,11 - Veg. prim. florestal,7 - Pastagem de Baixo Vigor,10.44
2009,11 - Veg. prim. florestal,8 - Pastagem de Médio Vigor,29.15
2009,11 - Veg. prim. florestal,9 - Pastagem de Alto Vigor,34.53
2009,11 - Veg. prim. florestal,11 - Veg. prim. florestal,14046.77
2009,11 - Veg. prim. florestal,14 - Veg. sec. não-florestal,0.25
2009,12 - Veg. sec. florestal,7 - Pastagem de Baixo Vigor,10.44
2009,12 - Veg. sec. florestal,8 - Pastagem de Médio Vigor,29.15
2009,12 - Veg. sec. florestal,9 - Pastagem de Alto Vigor,34.53
2009,12 - Veg. sec. florestal,12 - Veg. sec. florestal,14046.77
2009,12 - Veg. sec. florestal,14 - Veg. sec. não-florestal,0.25
2009,13 - Veg. prim. não-florestal,6 - Outra agropecuária,9.04
2009,13 - Veg. prim. não-florestal,7 - Pastagem de Baixo Vigor,497.93
2009,13 - Veg. prim. não-florestal,8 - Pastagem de Médio Vigor,1389.88
2009,13 - Veg. prim. não-florestal,9 - Pastagem de Alto Vigor,1646.54
2009,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,152617.32
2009,14 - Veg. sec. não-florestal,6 - Outra agropecuária,9.04
2009,14 - Veg. sec. não-florestal,7 - Pastagem de Baixo Vigor,497.93
2009,14 - Veg. sec. não-florestal,8 - Pastagem de Médio Vigor,1389.88
2009,14 - Veg. sec. não-florestal,9 - Pastagem de Alto Vigor,1646.54
2009,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,152617.32
2009,15 - Outro,15 - Outro,16858.88
2010,5 - Cana-de-açúcar,5 - Cana-de-açúcar,313.92
2010,6 - Outra agropecuária,6 - Outra agropecuária,55278.55
2010,7 - Pastagem de Baixo Vigor,5 - Cana-de-açúcar,0.93
2010,7 - Pastagem de Baixo Vigor,6 - Outra agropecuária,542.36
2010,7 - Pastagem de Baixo Vigor,7 - Pastagem de Baixo Vigor,116163.57
2010,7 - Pastagem de Baixo Vigor,12 - Veg. sec. florestal,1.5
2010,7 - Pastagem de Baixo Vigor,14 - Veg. sec. não-florestal,1.5
2010,8 - Pastagem de Médio Vigor,5 - Cana-de-açúcar,2.58
2010,8 - Pastagem de Médio Vigor,6 - Outra agropecuária,1513.91
2010,8 - Pastagem de Médio Vigor,8 - Pastagem de Médio Vigor,324251.66
2010,8 - Pastagem de Médio Vigor,12 - Veg. sec. florestal,4.19
