ano_par,origem_id,destino_id,area_ha
2008,1 - Culturas perenes,1 - Culturas perenes,3336.86
2008,4 - Milho 1ª safra,4 - Milho 1ª safra,2459.0
2008,5 - Cana-de-açúcar,5 - Cana-de-açúcar,12813.37
2008,6 - Outra agropecuária,6 - Outra agropecuária,19698.51
2008,7 - Pastagem deg. média,7 - Pastagem deg. média,11523.17
2008,8 - Pastagem deg. alta,8 - Pastagem deg. alta,4326.96
2008,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,61820.49
2008,10 - Silvicultura,10 - Silvicultura,57.33
2008,15 - Outro,15 - Outro,983870.24
2009,1 - Culturas perenes,1 - Culturas perenes,3336.86
2009,4 - Milho 1ª safra,4 - Milho 1ª safra,2459.0
2009,5 - Cana-de-açúcar,5 - Cana-de-açúcar,12813.37
2009,6 - Outra agropecuária,6 - Outra agropecuária,19698.51
2009,7 - Pastagem deg. média,7 - Pastagem deg. média,1709.57
2009,7 - Pastagem deg. média,8 - Pastagem deg. alta,641.95
2009,7 - Pastagem deg. média,9 - Pastagem deg. baixa,9171.66
2009,8 - Pastagem deg. alta,7 - Pastagem deg. média,641.95
2009,8 - Pastagem deg. alta,8 - Pastagem deg. alta,241.05
2009,8 - Pastagem deg. alta,9 - Pastagem deg. baixa,3443.97
2009,9 - Pastagem deg. baixa,7 - Pastagem deg. média,9171.66
2009,9 - Pastagem deg. baixa,8 - Pastagem deg. alta,3443.97
2009,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,49204.87
2009,10 - Silvicultura,10 - Silvicultura,57.33
2009,15 - Outro,15 - Outro,983870.24
2010,1 - Culturas perenes,1 - Culturas perenes,3226.55
2010,4 - Milho 1ª safra,4 - Milho 1ª safra,2459.0
2010,5 - Cana-de-açúcar,5 - Cana-de-açúcar,13590.05
2010,6 - Outra agropecuária,6 - Outra agropecuária,19385.12
2010,7 - Pastagem deg. média,7 - Pastagem deg. média,1497.13
2010,7 - Pastagem deg. média,8 - Pastagem deg. alta,549.6
2010,7 - Pastagem deg. média,9 - Pastagem deg. baixa,8815.35
2010,8 - Pastagem deg. alta,7 - Pastagem deg. média,549.6
2010,8 - Pastagem deg. alta,8 - Pastagem deg. alta,201.76
2010,8 - Pastagem deg. alta,9 - Pastagem deg. baixa,3236.11
2010,9 - Pastagem deg. baixa,7 - Pastagem deg. média,8815.35
