ano_par,origem_id,destino_id,area_ha
2008,1 - Culturas perenes,1 - Culturas perenes,3097.42
2008,4 - Milho 1ª safra,4 - Milho 1ª safra,8572.94
2008,5 - Cana-de-açúcar,5 - Cana-de-açúcar,21346.84
2008,6 - Outra agropecuária,6 - Outra agropecuária,254679.88
2008,7 - Pastagem deg. média,7 - Pastagem deg. média,266886.28
2008,8 - Pastagem deg. alta,8 - Pastagem deg. alta,73645.6
2008,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,451422.48
2008,10 - Silvicultura,10 - Silvicultura,103396.18
2008,11 - Veg. prim. florestal,11 - Veg. prim. florestal,301741.26
2008,12 - Veg. sec. florestal,12 - Veg. sec. florestal,9855.66
2008,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,226112.58
2008,15 - Outro,15 - Outro,133577.32
2009,1 - Culturas perenes,1 - Culturas perenes,3097.42
2009,4 - Milho 1ª safra,4 - Milho 1ª safra,8572.94
2009,5 - Cana-de-açúcar,5 - Cana-de-açúcar,21346.84
2009,6 - Outra agropecuária,6 - Outra agropecuária,254679.88
2009,7 - Pastagem deg. média,6 - Outra agropecuária,394.95
2009,7 - Pastagem deg. média,7 - Pastagem deg. média,89804.72
2009,7 - Pastagem deg. média,8 - Pastagem deg. alta,24781.05
2009,7 - Pastagem deg. média,9 - Pastagem deg. baixa,151899.41
2009,7 - Pastagem deg. média,12 - Veg. sec. florestal,6.16
2009,8 - Pastagem deg. alta,6 - Outra agropecuária,108.99
2009,8 - Pastagem deg. alta,7 - Pastagem deg. média,24781.05
2009,8 - Pastagem deg. alta,8 - Pastagem deg. alta,6838.18
2009,8 - Pastagem deg. alta,9 - Pastagem deg. baixa,41915.69
2009,8 - Pastagem deg. alta,12 - Veg. sec. florestal,1.7
2009,9 - Pastagem deg. baixa,6 - Outra agropecuária,668.04
2009,9 - Pastagem deg. baixa,7 - Pastagem deg. média,151899.41
2009,9 - Pastagem deg. baixa,8 - Pastagem deg. alta,41915.69
2009,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,256928.93
2009,9 - Pastagem deg. baixa,12 - Veg. sec. florestal,10.41
2009,10 - Silvicultura,10 - Silvicultura,103396.18
2009,11 - Veg. prim. florestal,6 - Outra agropecuária,0.35
2009,11 - Veg. prim. florestal,7 - Pastagem deg. média,578.42
2009,11 - Veg. prim. florestal,8 - Pastagem deg. alta,159.61
2009,11 - Veg. prim. florestal,9 - Pastagem deg. baixa,978.37
2009,11 - Veg. prim. florestal,11 - Veg. prim. florestal,300021.72
2009,11 - Veg. prim. florestal,12 - Veg. sec. florestal,2.79
2009,12 - Veg. sec. florestal,6 - Outra agropecuária,0.01
2009,12 - Veg. sec. florestal,7 - Pastagem deg. média,18.89
2009,12 - Veg. sec. florestal,8 - Pastagem deg. alta,5.21
2009,12 - Veg. sec. florestal,9 - Pastagem deg. baixa,31.96
2009,12 - Veg. sec. florestal,12 - Veg. sec. florestal,9799.59
2009,13 - Veg. prim. não-florestal,6 - Outra agropecuária,0.99
2009,13 - Veg. prim. não-florestal,7 - Pastagem deg. média,1797.16
2009,13 - Veg. prim. não-florestal,8 - Pastagem deg. alta,495.91
2009,13 - Veg. prim. não-florestal,9 - Pastagem deg. baixa,3039.79
2009,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,220778.73
2009,15 - Outro,15 - Outro,133577.32
2010,1 - Culturas perenes,1 - Culturas perenes,3109.61
2010,4 - Milho 1ª safra,4 - Milho 1ª safra,9164.7
2010,5 - Cana-de-açúcar,5 - Cana-de-açúcar,25034.93
2010,6 - Outra agropecuária,6 - Outra agropecuária,251773.16
2010,7 - Pastagem deg. média,6 - Outra agropecuária,336.66
2010,7 - Pastagem deg. média,7 - Pastagem deg. média,89608.12
2010,7 - Pastagem deg. média,8 - Pastagem deg. alta,24454.22
2010,7 - Pastagem deg. média,9 - Pastagem deg. baixa,152365.37
2010,7 - Pastagem deg. média,12 - Veg. sec. florestal,2.97
2010,8 - Pastagem deg. alta,6 - Outra agropecuária,91.88
2010,8 - Pastagem deg. alta,7 - Pastagem deg. média,24454.22
2010,8 - Pastagem deg. alta,8 - Pastagem deg. alta,6673.6
2010,8 - Pastagem deg. alta,9 - Pastagem deg. baixa,41580.78
2010,8 - Pastagem deg. alta,12 - Veg. sec. florestal,0.81
2010,9 - Pastagem deg. baixa,6 - Outra agropecuária,572.44
2010,9 - Pastagem deg. baixa,7 - Pastagem deg. média,152365.37
2010,9 - Pastagem deg. baixa,8 - Pastagem deg. alta,41580.78
2010,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,259074.78
2010,9 - Pastagem deg. baixa,12 - Veg. sec. florestal,5.04
2010,10 - Silvicultura,10 - Silvicultura,107118.98
2010,11 - Veg. prim. florestal,7 - Pastagem deg. média,359.11
2010,11 - Veg. prim. florestal,8 - Pastagem deg. alta,98.0
2010,11 - Veg. prim. florestal,9 - Pastagem deg. baixa,610.61
2010,11 - Veg. prim. florestal,11 - Veg. prim. florestal,300399.94
2010,11 - Veg. prim. florestal,12 - Veg. sec. florestal,1.83
2010,12 - Veg. sec. florestal,7 - Pastagem deg. média,11.82
2010,12 - Veg. sec. florestal,8 - Pastagem deg. alta,3.23
2010,12 - Veg. sec. florestal,9 - Pastagem deg. baixa,20.1
2010,12 - Veg. sec. florestal,12 - Veg. sec. florestal,9889.25
2010,13 - Veg. prim. não-florestal,6 - Outra agropecuária,3.78
2010,13 - Veg. prim. não-florestal,7 - Pastagem deg. média,1300.97
2010,13 - Veg. prim. não-florestal,8 - Pastagem deg. alta,355.04
2010,13 - Veg. prim. não-florestal,9 - Pastagem deg. baixa,2212.1
2010,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,218859.3
2010,15 - Outro,15 - Outro,133709.25
2011,1 - Culturas perenes,1 - Culturas perenes,3383.94
2011,4 - Milho 1ª safra,4 - Milho 1ª safra,8657.03
2011,5 - Cana-de-açúcar,5 - Cana-de-açúcar,26247.45
2011,6 - Outra agropecuária,6 - Outra agropecuária,258459.32
2011,7 - Pastagem deg. média,6 - Outra agropecuária,91.55
2011,7 - Pastagem deg. média,7 - Pastagem deg. média,114699.59
2011,7 - Pastagem deg. média,8 - Pastagem deg. alta,31925.6
2011,7 - Pastagem deg. média,9 - Pastagem deg. baixa,154197.31
2011,7 - Pastagem deg. média,12 - Veg. sec. florestal,5.63
2011,8 - Pastagem deg. alta,6 - Outra agropecuária,25.48
2011,8 - Pastagem deg. alta,7 - Pastagem deg. média,31925.6
2011,8 - Pastagem deg. alta,8 - Pastagem deg. alta,8886.21
2011,8 - Pastagem deg. alta,9 - Pastagem deg. baixa,42919.44
2011,8 - Pastagem deg. alta,12 - Veg. sec. florestal,1.57
2011,9 - Pastagem deg. baixa,6 - Outra agropecuária,123.08
2011,9 - Pastagem deg. baixa,7 - Pastagem deg. média,154197.31
2011,9 - Pastagem deg. baixa,8 - Pastagem deg. alta,42919.44
2011,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,207296.4
2011,9 - Pastagem deg. baixa,12 - Veg. sec. florestal,7.57
2011,10 - Silvicultura,10 - Silvicultura,110559.0
2011,11 - Veg. prim. florestal,7 - Pastagem deg. média,468.14
2011,11 - Veg. prim. florestal,8 - Pastagem deg. alta,130.3
2011,11 - Veg. prim. florestal,9 - Pastagem deg. baixa,629.35
2011,11 - Veg. prim. florestal,11 - Veg. prim. florestal,298050.67
2011,11 - Veg. prim. florestal,12 - Veg. sec. florestal,2.7
2011,12 - Veg. sec. florestal,7 - Pastagem deg. média,15.37
2011,12 - Veg. sec. florestal,8 - Pastagem deg. alta,4.28
2011,12 - Veg. sec. florestal,9 - Pastagem deg. baixa,20.66
2011,12 - Veg. sec. florestal,12 - Veg. sec. florestal,9785.96
2011,13 - Veg. prim. não-florestal,6 - Outra agropecuária,2.7
2011,13 - Veg. prim. não-florestal,7 - Pastagem deg. média,1529.97
2011,13 - Veg. prim. não-florestal,8 - Pastagem deg. alta,425.85
2011,13 - Veg. prim. não-florestal,9 - Pastagem deg. baixa,2056.83
2011,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,216191.34
2011,15 - Outro,15 - Outro,134241.14
2012,1 - Culturas perenes,1 - Culturas perenes,3408.58
2012,4 - Milho 1ª safra,4 - Milho 1ª safra,8752.86
2012,5 - Cana-de-açúcar,5 - Cana-de-açúcar,29839.66
2012,6 - Outra agropecuária,6 - Outra agropecuária,260621.14
2012,7 - Pastagem deg. média,6 - Outra agropecuária,414.97
2012,7 - Pastagem deg. média,7 - Pastagem deg. média,105534.39
2012,7 - Pastagem deg. média,8 - Pastagem deg. alta,30643.2
2012,7 - Pastagem deg. média,9 - Pastagem deg. baixa,151255.28
2012,7 - Pastagem deg. média,12 - Veg. sec. florestal,14.51
2012,8 - Pastagem deg. alta,6 - Outra agropecuária,120.49
2012,8 - Pastagem deg. alta,7 - Pastagem deg. média,30643.2
2012,8 - Pastagem deg. alta,8 - Pastagem deg. alta,8897.63
2012,8 - Pastagem deg. alta,9 - Pastagem deg. baixa,43918.81
2012,8 - Pastagem deg. alta,12 - Veg. sec. florestal,4.21
2012,9 - Pastagem deg. baixa,6 - Outra agropecuária,594.75
2012,9 - Pastagem deg. baixa,7 - Pastagem deg. média,151255.28
2012,9 - Pastagem deg. baixa,8 - Pastagem deg. alta,43918.81
2012,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,216783.92
2012,9 - Pastagem deg. baixa,12 - Veg. sec. florestal,20.79
2012,10 - Silvicultura,10 - Silvicultura,114381.4
2012,11 - Veg. prim. florestal,6 - Outra agropecuária,0.61
2012,11 - Veg. prim. florestal,7 - Pastagem deg. média,539.18
2012,11 - Veg. prim. florestal,8 - Pastagem deg. alta,156.56
2012,11 - Veg. prim. florestal,9 - Pastagem deg. baixa,772.77
2012,11 - Veg. prim. florestal,11 - Veg. prim. florestal,295751.13
2012,11 - Veg. prim. florestal,12 - Veg. sec. florestal,2.44
2012,12 - Veg. sec. florestal,6 - Outra agropecuária,0.02
2012,12 - Veg. sec. florestal,7 - Pastagem deg. média,17.92
2012,12 - Veg. sec. florestal,8 - Pastagem deg. alta,5.2
2012,12 - Veg. sec. florestal,9 - Pastagem deg. baixa,25.68
2012,12 - Veg. sec. florestal,12 - Veg. sec. florestal,9830.0
2012,13 - Veg. prim. não-florestal,6 - Outra agropecuária,0.09
2012,13 - Veg. prim. não-florestal,7 - Pastagem deg. média,1864.04
2012,13 - Veg. prim. não-florestal,8 - Pastagem deg. alta,541.25
2012,13 - Veg. prim. não-florestal,9 - Pastagem deg. baixa,2671.61
2012,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,212585.94
2012,15 - Outro,15 - Outro,134684.86
2013,1 - Culturas perenes,1 - Culturas perenes,3650.48
2013,4 - Milho 1ª safra,4 - Milho 1ª safra,8609.19
2013,5 - Cana-de-açúcar,5 - Cana-de-açúcar,31761.84
2013,6 - Outra agropecuária,6 - Outra agropecuária,260226.36
2013,7 - Pastagem deg. média,6 - Outra agropecuária,1139.05
2013,7 - Pastagem deg. média,7 - Pastagem deg. média,88376.53
2013,7 - Pastagem deg. média,8 - Pastagem deg. alta,27604.83
2013,7 - Pastagem deg. média,9 - Pastagem deg. baixa,146373.94
2013,7 - Pastagem deg. média,12 - Veg. sec. florestal,27.26
2013,8 - Pastagem deg. alta,6 - Outra agropecuária,355.79
2013,8 - Pastagem deg. alta,7 - Pastagem deg. média,27604.83
2013,8 - Pastagem deg. alta,8 - Pastagem deg. alta,8622.5
2013,8 - Pastagem deg. alta,9 - Pastagem deg. baixa,45720.6
2013,8 - Pastagem deg. alta,12 - Veg. sec. florestal,8.51
2013,9 - Pastagem deg. baixa,6 - Outra agropecuária,1886.55
2013,9 - Pastagem deg. baixa,7 - Pastagem deg. média,146373.94
2013,9 - Pastagem deg. baixa,8 - Pastagem deg. alta,45720.6
2013,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,242432.34
2013,9 - Pastagem deg. baixa,12 - Veg. sec. florestal,45.14
2013,10 - Silvicultura,10 - Silvicultura,119286.37
2013,11 - Veg. prim. florestal,6 - Outra agropecuária,0.96
2013,11 - Veg. prim. florestal,7 - Pastagem deg. média,527.25
2013,11 - Veg. prim. florestal,8 - Pastagem deg. alta,164.69
2013,11 - Veg. prim. florestal,9 - Pastagem deg. baixa,873.26
2013,11 - Veg. prim. florestal,11 - Veg. prim. florestal,291544.05
2013,11 - Veg. prim. florestal,12 - Veg. sec. florestal,5.05
2013,12 - Veg. sec. florestal,6 - Outra agropecuária,0.03
2013,12 - Veg. sec. florestal,7 - Pastagem deg. média,17.73
2013,12 - Veg. sec. florestal,8 - Pastagem deg. alta,5.54
2013,12 - Veg. sec. florestal,9 - Pastagem deg. baixa,29.37
2013,12 - Veg. sec. florestal,12 - Veg. sec. florestal,9806.09
2013,13 - Veg. prim. não-florestal,6 - Outra agropecuária,4.77
2013,13 - Veg. prim. não-florestal,7 - Pastagem deg. média,1594.32
2013,13 - Veg. prim. não-florestal,8 - Pastagem deg. alta,497.99
2013,13 - Veg. prim. não-florestal,9 - Pastagem deg. baixa,2640.6
2013,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,208592.64
2013,15 - Outro,15 - Outro,135212.8
2014,1 - Culturas perenes,1 - Culturas perenes,4009.79
2014,4 - Milho 1ª safra,4 - Milho 1ª safra,6388.4
2014,5 - Cana-de-açúcar,5 - Cana-de-açúcar,33423.32
2014,6 - Outra agropecuária,6 - Outra agropecuária,260659.3
2014,7 - Pastagem deg. média,6 - Outra agropecuária,715.28
2014,7 - Pastagem deg. média,7 - Pastagem deg. média,100854.04
2014,7 - Pastagem deg. média,8 - Pastagem deg. alta,31792.39
2014,7 - Pastagem deg. média,9 - Pastagem deg. baixa,147014.19
2014,7 - Pastagem deg. média,12 - Veg. sec. florestal,13.21
2014,8 - Pastagem deg. alta,6 - Outra agropecuária,225.48
2014,8 - Pastagem deg. alta,7 - Pastagem deg. média,31792.39
2014,8 - Pastagem deg. alta,8 - Pastagem deg. alta,10021.97
2014,8 - Pastagem deg. alta,9 - Pastagem deg. baixa,46343.53
2014,8 - Pastagem deg. alta,12 - Veg. sec. florestal,4.16
2014,9 - Pastagem deg. baixa,6 - Outra agropecuária,1042.66
2014,9 - Pastagem deg. baixa,7 - Pastagem deg. média,147014.19
2014,9 - Pastagem deg. baixa,8 - Pastagem deg. alta,46343.53
2014,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,214301.49
2014,9 - Pastagem deg. baixa,12 - Veg. sec. florestal,19.26
2014,10 - Silvicultura,10 - Silvicultura,130940.71
2014,11 - Veg. prim. florestal,7 - Pastagem deg. média,330.1
2014,11 - Veg. prim. florestal,8 - Pastagem deg. alta,104.06
2014,11 - Veg. prim. florestal,9 - Pastagem deg. baixa,481.18
2014,11 - Veg. prim. florestal,11 - Veg. prim. florestal,291495.74
2014,11 - Veg. prim. florestal,12 - Veg. sec. florestal,2.35
2014,12 - Veg. sec. florestal,7 - Pastagem deg. média,11.31
2014,12 - Veg. sec. florestal,8 - Pastagem deg. alta,3.57
2014,12 - Veg. sec. florestal,9 - Pastagem deg. baixa,16.49
2014,12 - Veg. sec. florestal,12 - Veg. sec. florestal,9991.47
2014,13 - Veg. prim. não-florestal,6 - Outra agropecuária,0.72
2014,13 - Veg. prim. não-florestal,7 - Pastagem deg. média,1146.21
