ano_par,origem_id,destino_id,area_ha
2008,2 - Soja,2 - Soja,19330.92
2008,4 - Milho 1ª safra,4 - Milho 1ª safra,63760.0
2008,5 - Cana-de-açúcar,5 - Cana-de-açúcar,5.14
2008,6 - Outra agropecuária,6 - Outra agropecuária,257311.83
2008,7 - Pastagem deg. média,7 - Pastagem deg. média,87405.19
2008,8 - Pastagem deg. alta,8 - Pastagem deg. alta,72132.91
2008,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,18363.91
2008,10 - Silvicultura,10 - Silvicultura,229371.98
2008,11 - Veg. prim. florestal,11 - Veg. prim. florestal,743601.73
2008,12 - Veg. sec. florestal,12 - Veg. sec. florestal,3649.28
2008,15 - Outro,15 - Outro,27250.88
2009,2 - Soja,2 - Soja,19330.92
2009,4 - Milho 1ª safra,4 - Milho 1ª safra,63760.0
2009,5 - Cana-de-açúcar,5 - Cana-de-açúcar,5.14
2009,6 - Outra agropecuária,6 - Outra agropecuária,257311.83
2009,7 - Pastagem deg. média,2 - Soja,37.5
2009,7 - Pastagem deg. média,6 - Outra agropecuária,1009.63
2009,7 - Pastagem deg. média,7 - Pastagem deg. média,42428.09
2009,7 - Pastagem deg. média,8 - Pastagem deg. alta,35014.64
2009,7 - Pastagem deg. média,9 - Pastagem deg. baixa,8914.18
2009,7 - Pastagem deg. média,12 - Veg. sec. florestal,1.15
2009,8 - Pastagem deg. alta,2 - Soja,30.95
2009,8 - Pastagem deg. alta,6 - Outra agropecuária,833.22
2009,8 - Pastagem deg. alta,7 - Pastagem deg. média,35014.64
2009,8 - Pastagem deg. alta,8 - Pastagem deg. alta,28896.54
2009,8 - Pastagem deg. alta,9 - Pastagem deg. baixa,7356.61
2009,8 - Pastagem deg. alta,12 - Veg. sec. florestal,0.95
2009,9 - Pastagem deg. baixa,2 - Soja,7.88
2009,9 - Pastagem deg. baixa,6 - Outra agropecuária,212.12
2009,9 - Pastagem deg. baixa,7 - Pastagem deg. média,8914.18
2009,9 - Pastagem deg. baixa,8 - Pastagem deg. alta,7356.61
2009,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,1872.88
2009,9 - Pastagem deg. baixa,12 - Veg. sec. florestal,0.24
2009,10 - Silvicultura,10 - Silvicultura,229371.98
2009,11 - Veg. prim. florestal,2 - Soja,2.87
2009,11 - Veg. prim. florestal,6 - Outra agropecuária,103.44
2009,11 - Veg. prim. florestal,7 - Pastagem deg. média,175.92
2009,11 - Veg. prim. florestal,8 - Pastagem deg. alta,145.18
2009,11 - Veg. prim. florestal,9 - Pastagem deg. baixa,36.96
2009,11 - Veg. prim. florestal,11 - Veg. prim. florestal,743137.27
2009,11 - Veg. prim. florestal,12 - Veg. sec. florestal,0.09
2009,12 - Veg. sec. florestal,2 - Soja,0.01
2009,12 - Veg. sec. florestal,6 - Outra agropecuária,0.51
2009,12 - Veg. sec. florestal,7 - Pastagem deg. média,0.86
2009,12 - Veg. sec. florestal,8 - Pastagem deg. alta,0.71
2009,12 - Veg. sec. florestal,9 - Pastagem deg. baixa,0.18
2009,12 - Veg. sec. florestal,12 - Veg. sec. florestal,3647.0
2009,15 - Outro,15 - Outro,27250.88
2010,2 - Soja,2 - Soja,19680.66
2010,4 - Milho 1ª safra,4 - Milho 1ª safra,59050.0
2010,5 - Cana-de-açúcar,5 - Cana-de-açúcar,4.52
2010,6 - Outra agropecuária,6 - Outra agropecuária,251212.66
2010,7 - Pastagem deg. média,2 - Soja,90.39
2010,7 - Pastagem deg. média,6 - Outra agropecuária,1049.49
2010,7 - Pastagem deg. média,7 - Pastagem deg. média,42818.27
2010,7 - Pastagem deg. média,8 - Pastagem deg. alta,31907.67
2010,7 - Pastagem deg. média,9 - Pastagem deg. baixa,10154.0
2010,7 - Pastagem deg. média,12 - Veg. sec. florestal,2.86
2010,8 - Pastagem deg. alta,2 - Soja,67.36
2010,8 - Pastagem deg. alta,6 - Outra agropecuária,782.07
2010,8 - Pastagem deg. alta,7 - Pastagem deg. média,31907.67
2010,8 - Pastagem deg. alta,8 - Pastagem deg. alta,23777.22
2010,8 - Pastagem deg. alta,9 - Pastagem deg. baixa,7566.64
