ano_par,origem_id,destino_id,area_ha
2008,1 - Culturas perenes,1 - Culturas perenes,62861.64
2008,2 - Soja Safra Única,2 - Soja Safra Única,35909.92
2008,2 - Soja Safra Única,3 - Soja + Milho 2ª Safra,15059.72
2008,2 - Soja Safra Única,12 - Veg. sec. florestal,0.43
2008,2 - Soja Safra Única,14 - Veg. sec. não-florestal,0.15
2008,3 - Soja + Milho 2ª Safra,2 - Soja Safra Única,14002.29
2008,3 - Soja + Milho 2ª Safra,3 - Soja + Milho 2ª Safra,5872.21
2008,3 - Soja + Milho 2ª Safra,12 - Veg. sec. florestal,0.17
2008,3 - Soja + Milho 2ª Safra,14 - Veg. sec. não-florestal,0.06
2008,4 - Milho 1ª safra,4 - Milho 1ª safra,59960.38
2008,5 - Cana-de-açúcar,5 - Cana-de-açúcar,1355633.76
2008,6 - Outra agropecuária,6 - Outra agropecuária,529749.5
2008,7 - Pastagem de Baixo Vigor,2 - Soja Safra Única,147.8
2008,7 - Pastagem de Baixo Vigor,3 - Soja + Milho 2ª Safra,61.98
2008,7 - Pastagem de Baixo Vigor,5 - Cana-de-açúcar,663.47
2008,7 - Pastagem de Baixo Vigor,6 - Outra agropecuária,24.85
2008,7 - Pastagem de Baixo Vigor,7 - Pastagem de Baixo Vigor,37895.77
2008,7 - Pastagem de Baixo Vigor,12 - Veg. sec. florestal,1.32
2008,7 - Pastagem de Baixo Vigor,14 - Veg. sec. não-florestal,0.48
2008,8 - Pastagem de Médio Vigor,2 - Soja Safra Única,375.96
2008,8 - Pastagem de Médio Vigor,3 - Soja + Milho 2ª Safra,157.67
2008,8 - Pastagem de Médio Vigor,5 - Cana-de-açúcar,1687.64
2008,8 - Pastagem de Médio Vigor,6 - Outra agropecuária,63.22
2008,8 - Pastagem de Médio Vigor,8 - Pastagem de Médio Vigor,96394.27
2008,8 - Pastagem de Médio Vigor,12 - Veg. sec. florestal,3.37
2008,8 - Pastagem de Médio Vigor,14 - Veg. sec. não-florestal,1.21
2008,9 - Pastagem de Alto Vigor,2 - Soja Safra Única,274.29
2008,9 - Pastagem de Alto Vigor,3 - Soja + Milho 2ª Safra,115.03
2008,9 - Pastagem de Alto Vigor,5 - Cana-de-açúcar,1231.25
2008,9 - Pastagem de Alto Vigor,6 - Outra agropecuária,46.12
2008,9 - Pastagem de Alto Vigor,9 - Pastagem de Alto Vigor,70326.04
2008,9 - Pastagem de Alto Vigor,12 - Veg. sec. florestal,2.46
2008,9 - Pastagem de Alto Vigor,14 - Veg. sec. não-florestal,0.88
2008,10 - Silvicultura,10 - Silvicultura,37971.64
2008,11 - Veg. prim. florestal,2 - Soja Safra Única,2.89
2008,11 - Veg. prim. florestal,3 - Soja + Milho 2ª Safra,1.21
2008,11 - Veg. prim. florestal,5 - Cana-de-açúcar,64.08
2008,11 - Veg. prim. florestal,6 - Outra agropecuária,6.57
2008,11 - Veg. prim. florestal,7 - Pastagem de Baixo Vigor,2.53
2008,11 - Veg. prim. florestal,8 - Pastagem de Médio Vigor,7.33
2008,11 - Veg. prim. florestal,9 - Pastagem de Alto Vigor,5.93
2008,11 - Veg. prim. florestal,11 - Veg. prim. florestal,162133.93
2008,11 - Veg. prim. florestal,14 - Veg. sec. não-florestal,0.44
2008,12 - Veg. sec. florestal,2 - Soja Safra Única,2.89
2008,12 - Veg. sec. florestal,3 - Soja + Milho 2ª Safra,1.21
2008,12 - Veg. sec. florestal,5 - Cana-de-açúcar,64.08
2008,12 - Veg. sec. florestal,6 - Outra agropecuária,6.57
2008,12 - Veg. sec. florestal,7 - Pastagem de Baixo Vigor,2.53
2008,12 - Veg. sec. florestal,8 - Pastagem de Médio Vigor,7.33
2008,12 - Veg. sec. florestal,9 - Pastagem de Alto Vigor,5.93
2008,12 - Veg. sec. florestal,12 - Veg. sec. florestal,162133.93
2008,12 - Veg. sec. florestal,14 - Veg. sec. não-florestal,0.44
2008,13 - Veg. prim. não-florestal,2 - Soja Safra Única,3.59
2008,13 - Veg. prim. não-florestal,3 - Soja + Milho 2ª Safra,1.5
2008,13 - Veg. prim. não-florestal,6 - Outra agropecuária,0.37
2008,13 - Veg. prim. não-florestal,7 - Pastagem de Baixo Vigor,5.79
2008,13 - Veg. prim. não-florestal,8 - Pastagem de Médio Vigor,16.75
2008,13 - Veg. prim. não-florestal,9 - Pastagem de Alto Vigor,13.55
2008,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,10360.35
2008,14 - Veg. sec. não-florestal,2 - Soja Safra Única,0.79
2008,14 - Veg. sec. não-florestal,3 - Soja + Milho 2ª Safra,0.33
2008,14 - Veg. sec. não-florestal,6 - Outra agropecuária,0.08
2008,14 - Veg. sec. não-florestal,7 - Pastagem de Baixo Vigor,1.27
2008,14 - Veg. sec. não-florestal,8 - Pastagem de Médio Vigor,3.68
2008,14 - Veg. sec. não-florestal,9 - Pastagem de Alto Vigor,2.98
2008,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,2275.38
2008,15 - Outro,15 - Outro,101536.54
2009,1 - Culturas perenes,1 - Culturas perenes,63937.53
2009,2 - Soja Safra Única,2 - Soja Safra Única,41188.74
2009,2 - Soja Safra Única,3 - Soja + Milho 2ª Safra,19411.3
2009,2 - Soja Safra Única,12 - Veg. sec. florestal,0.19
