ano_par,origem_id,destino_id,area_ha
2008,1 - Culturas perenes,1 - Culturas perenes,10073.74
2008,4 - Milho 1ª safra,4 - Milho 1ª safra,3922.0
2008,5 - Cana-de-açúcar,5 - Cana-de-açúcar,436809.57
2008,6 - Outra agropecuária,6 - Outra agropecuária,247453.94
2008,7 - Pastagem deg. média,7 - Pastagem deg. média,201435.04
2008,8 - Pastagem deg. alta,8 - Pastagem deg. alta,52661.79
2008,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,132355.07
2008,10 - Silvicultura,10 - Silvicultura,5449.77
2008,11 - Veg. prim. florestal,11 - Veg. prim. florestal,147820.84
2008,12 - Veg. sec. florestal,12 - Veg. sec. florestal,5723.12
2008,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,48650.94
2008,15 - Outro,15 - Outro,53123.17
2009,1 - Culturas perenes,1 - Culturas perenes,10073.74
2009,4 - Milho 1ª safra,4 - Milho 1ª safra,3922.0
2009,5 - Cana-de-açúcar,5 - Cana-de-açúcar,436809.57
2009,6 - Outra agropecuária,6 - Outra agropecuária,247453.94
2009,7 - Pastagem deg. média,5 - Cana-de-açúcar,397.95
2009,7 - Pastagem deg. média,6 - Outra agropecuária,2.44
2009,7 - Pastagem deg. média,7 - Pastagem deg. média,104786.45
2009,7 - Pastagem deg. média,8 - Pastagem deg. alta,27394.64
2009,7 - Pastagem deg. média,9 - Pastagem deg. baixa,68851.07
2009,7 - Pastagem deg. média,12 - Veg. sec. florestal,2.49
2009,8 - Pastagem deg. alta,5 - Cana-de-açúcar,104.04
2009,8 - Pastagem deg. alta,6 - Outra agropecuária,0.64
2009,8 - Pastagem deg. alta,7 - Pastagem deg. média,27394.64
2009,8 - Pastagem deg. alta,8 - Pastagem deg. alta,7161.87
2009,8 - Pastagem deg. alta,9 - Pastagem deg. baixa,17999.95
2009,8 - Pastagem deg. alta,12 - Veg. sec. florestal,0.65
2009,9 - Pastagem deg. baixa,5 - Cana-de-açúcar,261.48
2009,9 - Pastagem deg. baixa,6 - Outra agropecuária,1.6
2009,9 - Pastagem deg. baixa,7 - Pastagem deg. média,68851.07
2009,9 - Pastagem deg. baixa,8 - Pastagem deg. alta,17999.95
2009,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,45239.34
2009,9 - Pastagem deg. baixa,12 - Veg. sec. florestal,1.63
2009,10 - Silvicultura,10 - Silvicultura,5449.77
2009,11 - Veg. prim. florestal,5 - Cana-de-açúcar,12.91
2009,11 - Veg. prim. florestal,7 - Pastagem deg. média,72.4
2009,11 - Veg. prim. florestal,8 - Pastagem deg. alta,18.93
2009,11 - Veg. prim. florestal,9 - Pastagem deg. baixa,47.57
2009,11 - Veg. prim. florestal,11 - Veg. prim. florestal,147668.77
2009,11 - Veg. prim. florestal,12 - Veg. sec. florestal,0.26
2009,12 - Veg. sec. florestal,5 - Cana-de-açúcar,0.5
2009,12 - Veg. sec. florestal,7 - Pastagem deg. média,2.8
2009,12 - Veg. sec. florestal,8 - Pastagem deg. alta,0.73
2009,12 - Veg. sec. florestal,9 - Pastagem deg. baixa,1.84
2009,12 - Veg. sec. florestal,12 - Veg. sec. florestal,5717.25
2009,13 - Veg. prim. não-florestal,7 - Pastagem deg. média,503.41
2009,13 - Veg. prim. não-florestal,8 - Pastagem deg. alta,131.61
2009,13 - Veg. prim. não-florestal,9 - Pastagem deg. baixa,330.77
2009,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,47685.15
2009,15 - Outro,15 - Outro,53123.17
2010,1 - Culturas perenes,1 - Culturas perenes,10091.31
2010,4 - Milho 1ª safra,4 - Milho 1ª safra,3407.0
2010,5 - Cana-de-açúcar,5 - Cana-de-açúcar,437511.63
2010,6 - Outra agropecuária,6 - Outra agropecuária,248863.87
2010,7 - Pastagem deg. média,5 - Cana-de-açúcar,389.99
2010,7 - Pastagem deg. média,6 - Outra agropecuária,3.23
2010,7 - Pastagem deg. média,7 - Pastagem deg. média,101189.74
2010,7 - Pastagem deg. média,8 - Pastagem deg. alta,25772.78
2010,7 - Pastagem deg. média,9 - Pastagem deg. baixa,70409.63
2010,7 - Pastagem deg. média,12 - Veg. sec. florestal,6.37
2010,8 - Pastagem deg. alta,5 - Cana-de-açúcar,99.33
2010,8 - Pastagem deg. alta,6 - Outra agropecuária,0.82
