CD_MUN,SIGLA_UF,ANO,Veg_Florestal_Primaria,Veg_Florestal_Secundaria,Natural_Nao_Florestal,Silvicultura,Pastagem_Arbustiva_Arborea,Pastagem_Herbacea,Cultura_Perene,Cultura_Semiperene,Cultura_Temporaria_Total,Cultura_Temporaria_1Ciclo,Cultura_Temporaria_NCiclos,Desflorestamento_Ano,Mineracao,Urbanizada,Corpo_Dagua,Outros_Usos,Nao_Observado
5106299,MT,2008,257108.0368682597,24983.654295945315,3238.2816888692164,0.020075270688000003,34785.83682768111,155548.31648464946,0.0,0.0,385.47531011563206,0.0,0.0,4233.382743967345,1451.5625223665284,423.1064050202881,8054.841008687617,35.31240114019201,1132.807374382464
5104526,MT,2008,110014.96266616999,11669.383458426673,29934.72796700866,0.0,5799.404422161505,18089.31449755426,0.0,0.0,141713.48384055565,0.0,0.0,382.7350356667201,0.0,0.0,283.53308556196805,118.51436050660801,130.77031326163203
5103254,MT,2008,2462124.7178248204,62210.58381347516,31392.71457599535,0.0,115507.63702748955,150061.14274749844,0.0,0.0,0.0,0.0,0.0,12582.266242422098,81.00371722608001,1553.5850480029442,6941.356082342353,2406.5632242653764,6570.605983276369
5104500,MT,2008,3842.296395694417,6281.341407932977,1.3751560421280002,0.0,9599.432335422338,39905.843901583976,0.0,0.0,4.5169359048,0.0,0.0,102.14297726054401,0.0,92.08526664585601,444.5166812090401,0.0,346.11774193180804
5108907,MT,2008,793436.5595363852,72773.789744087,18770.779598693764,0.0,55936.50965353124,115198.72879977793,0.0,0.0,55726.351682333916,0.0,0.0,1835.7730904288162,0.0,517.13897292288,2289.3838692595205,272.75266520251205,4444.363801262881
5104542,MT,2008,149566.13676050908,13860.649442198594,0.0,0.0,41066.96744527186,51289.71686028591,0.0,0.0,32412.78926782935,0.0,0.0,9359.573001242114,0.0,601.7361636021121,470.20299005433606,4.5169359048,830.6444376220321
5104559,MT,2008,248764.2123380183,28936.424906235796,43233.30998048463,0.0,34015.608917194615,88113.3944155059,0.0,0.0,10627.336382824658,0.0,0.0,4208.730311562481,0.0,230.29346769739203,5464.488681273601,76.45666841524802,23.668744141152004
5108956,MT,2008,286773.63575642504,17904.90306101429,1297.2338789525284,0.0,28587.42636296026,185902.3365552477,0.0,0.0,0.0,0.0,0.0,2398.2620998358884,0.0,353.7563824285921,1244.7169708327203,5.069005848720001,657.3045128664961
5106307,MT,2008,499396.6293662619,44957.524791700234,89900.74595303526,0.0,51807.56850531822,105753.8760486532,0.0,0.0,38596.243655887636,0.0,0.0,8282.384164300753,0.0,57.90711829953601,865.4951075364002,468.5969683992961,3125.0170116475206
5106315,MT,2008,17447.367566764082,1432.2400743293283,4001.7944213105766,0.0,5561.452238696641,3346.9089785619844,0.0,0.0,0.0,0.0,0.0,817.1337804490081,0.0,0.0,2.7402744489120003,0.0,58.96107001065601
5103700,MT,2008,911527.7032239841,60253.00401814691,73490.67766035549,0.0,34838.86565520346,29852.99150240247,0.0,0.0,59276.01085720935,0.0,0.0,23765.005064100966,0.0,640.7825650902721,3840.5297718738725,264.86308382212803,1547.8033700448002
5105002,MT,2008,2030.2924257601924,11078.146661394387,9947.346814080722,0.0,15465.787785328323,86926.08268120552,0.0,0.0,0.0,0.0,0.0,171.30228478070404,0.0,261.89194376030406,435.3924706813441,0.0,141.52062071505603
5106828,MT,2008,22423.374724021924,3338.0457465532327,462402.81389196106,0.0,12448.29392348573,21173.187241926724,0.0,0.0,4.797989694432001,0.0,0.0,736.9029611444162,0.0,0.0,12.617307627408001,0.0,460.58693539478406
5106802,MT,2008,400374.7343643105,31638.08457197943,4949.839041916033,0.0,62506.944997006765,122339.62303512367,0.0,0.0,76043.17806488728,0.0,0.0,3025.6946099186407,0.0,342.82539753897606,1420.0242721156803,189.10904988096004,783.9694332724322
5105507,MT,2008,240838.1541907942,44752.65665432919,685864.586673144,413.0486944056001,75727.45428277711,316295.8871742427,0.0,0.0,8044.321566847106,0.0,0.0,3782.1308094424808,166.46414454489602,236.06510802019204,8053.174761220514,256.23071742628804,20030.452646189042
5106851,MT,2008,8719.503108261266,1468.1246206841283,1656.1395683125922,0.0,1496.0493222111363,9019.056259832258,0.0,0.0,1691.7229856070724,0.0,0.0,10.690081641360003,0.0,0.0,82.18815819667202,0.0,0.5621075792640001
5108600,MT,2008,272686.13575545204,71900.43516807625,18414.53388269986,1.7164356438240003,44832.064387535574,337324.17111234344,0.0,0.0,4352.429099147184,0.0,0.0,7974.459624852865,0.0,469.36986632078407,1634.7895179359043,40.411519894944,249.01365761395203
5103809,MT,2008,4774.431364279632,7263.222897283057,13023.6712566745,0.0,9043.538052436274,58224.879721621015,0.0,0.0,0.0,0.0,0.0,96.03005733604802,0.0,76.617270580752,514.5593006394721,0.0,39.31741764244801
5105580,MT,2008,884445.631071199,73577.65377061124,23186.606402673653,0.0,69677.90195020777,183429.37437318175,0.0,0.0,1544.8121547122882,0.0,0.0,18139.23165811997,0.0,933.3997106385601,2555.822861830656,208.11029358715203,1214.6542529774401
5102504,MT,2008,73339.70158714638,9195.969582770258,188214.89732451653,0.0,24098.856815642404,56621.839244278184,0.0,3393.3330420279844,1554.1170426761762,0.0,0.0,1004.7873732050882,0.0,0.0,451.0009936412641,28.878276884688006,1376.8825154071683
