CD_MUN,SIGLA_UF,ANO,Veg_Florestal_Primaria,Veg_Florestal_Secundaria,Natural_Nao_Florestal,Silvicultura,Pastagem_Arbustiva_Arborea,Pastagem_Herbacea,Cultura_Perene,Cultura_Semiperene,Cultura_Temporaria_Total,Cultura_Temporaria_1Ciclo,Cultura_Temporaria_NCiclos,Desflorestamento_Ano,Mineracao,Urbanizada,Corpo_Dagua,Outros_Usos,Nao_Observado
1400100,RR,2008,22890.03442879979,329.46530489611155,537437.3902822117,0.0,518.8453709313592,712.5616954352149,0.0,0.0,0.0,0.0,0.0,236.8982317537437,0.0,0.0,11091.175512070879,0.0,159.46791271012776
1400175,RR,2008,537795.7639768985,38047.83744886814,83535.831193228,0.0,22812.29294306051,60907.287202774765,0.0,0.0,28.77790053124796,0.0,0.0,12242.823527994029,0.0,300.9082323424316,7546.8965097398295,172.15548378494373,8864.958482031156
1400159,RR,2008,156621.71109543054,10583.79312070237,617073.0079238104,0.0,10551.843327402416,9421.926791999027,0.0,0.0,246.33360897710364,0.0,0.0,1960.9524408038371,5.229608014223992,38.67500898043194,3577.5035753196908,13.229603383391982,3937.071748612458
1400209,RR,2008,3165987.2965891543,32673.265905006097,1449984.9373324155,0.0,19635.260905060386,30023.641340885762,0.0,0.0,0.0,0.0,0.0,4260.424133584073,0.0,541.1891472071032,60587.85953322265,243.63348506956763,6014.52098521876
1400233,RR,2008,1116180.1016985737,36704.320033344426,1287.0456790783662,0.0,25513.520990484347,20972.986604990612,0.0,0.0,0.0,0.0,0.0,3839.024126572266,0.0,201.8769220385277,8423.985086098548,68.3362214219519,1058.9404158859666
1400282,RR,2008,1327104.5567684046,19512.99246893512,4752.097625639225,0.0,10384.746811830848,29288.3243261257,0.0,0.0,0.0,0.0,0.0,13083.194434264396,0.0,256.0199270840636,946.3281849616307,84.52692723182386,5850.4357602503915
1400027,RR,2008,2245788.461621633,7470.03833591082,530098.3330499048,0.0,6342.1795157529505,6539.750292228902,0.0,0.0,0.0,0.0,0.0,3481.302878182795,0.0,57.30486017889591,8965.706227978882,67.4428718763359,45751.75268829416
1400050,RR,2008,2212128.3656730517,14329.597727834907,262195.1405735045,0.0,10317.0730743416,22993.944029880877,0.0,0.0,0.0,0.0,0.0,3661.1773035472743,0.0,271.20686935953563,10522.011475160049,16.421571422783977,25324.040548095658
1400506,RR,2008,380503.6592921129,19295.54717447805,44.446649303231936,0.0,15161.57717095769,13573.994652044621,0.0,0.0,0.0,0.0,0.0,1518.2726468627495,0.0,265.9973366159996,765.851501476511,95.53821320419185,142.48423370807978
1400605,RR,2008,98958.21624332885,16103.298081296423,0.0,0.0,16692.22622219959,19977.45393157269,0.0,0.0,0.0,0.0,0.0,1270.6742958323023,0.0,129.34496904278382,301.8718453354556,64.92342540499192,239.05632335270363
1400704,RR,2008,208320.17050455938,844.6268636562228,597936.6375706175,0.0,273.3448856878076,75.13170054983989,0.0,0.0,0.0,0.0,0.0,44.68755255148793,0.0,0.0,771.8740826829109,0.0,8092.552404675012
1400308,RR,2008,1066839.5530951978,27665.449481343127,18445.971756597235,0.0,21102.211122409262,59902.359302674864,0.0,0.0,332.74761165359956,0.0,0.0,18757.31912969743,0.0,466.71993058996725,5427.811161726617,62.19318859142391,24203.890631881983
1400407,RR,2008,47924.44904667967,191.67868452902374,649614.4395262084,0.0,141.2997927374878,282.4289456741276,0.0,0.0,1309.479794072206,0.0,0.0,34.87074518505595,0.0,0.0,2486.834194111341,0.0,191.01620059631975
1400456,RR,2008,154254.72626732654,1585.3541638667016,634842.6036603876,0.0,769.515238377071,160.20066009023978,0.0,0.0,0.0,0.0,0.0,25.264728160847962,0.0,60.71765619585591,2113.343820596445,0.39146777841599945,15281.617252036585
1400472,RR,2008,2455269.143374124,33851.844896557195,764485.630247076,0.0,47325.02153920668,19974.543017322932,0.0,0.0,0.0,0.0,0.0,2642.287052683868,0.15056453015999977,588.8578774557592,55914.87854936484,50.097838001903924,695.5479035271351
1400100,RR,2010,22805.025695071454,765.5704476868788,537438.564685547,0.0,416.90314637769535,575.4676719068632,0.0,0.0,0.0,0.0,0.0,58.148021547791906,0.0,0.0,11095.170490937791,6.504387702911989,214.48419203059166
1400175,RR,2010,533347.8368150885,47923.37501969787,83535.56017707371,0.0,33269.109976661275,57112.48889752816,0.0,0.0,28.77790053124796,0.0,0.0,3559.2551542642987,0.0,361.0537433236795,7576.356969474469,651.7838134272951,4889.934434183033
1400159,RR,2010,155610.95132919576,12022.437206381168,617061.7155840483,9.565866482831987,17679.507959364742,2844.916797373196,0.0,0.0,261.9320943016796,0.0,0.0,754.960667128271,0.0,38.67500898043194,3591.5361895306028,892.9781531082707,3262.100997540523
1400209,RR,2010,3163126.761231186,35667.46241521526,1449986.272337916,0.0,23952.909597740607,26674.68468471361,0.0,0.0,0.0,0.0,0.0,1900.2548598786693,0.0,541.2292977484792,60623.533289235216,965.3193910324785,6513.6022521577825
1400233,RR,2010,1111649.1432171983,40609.01037033715,1287.0456790783662,0.0,32598.4855216933,15891.222921748393,0.0,0.0,0.0,0.0,0.0,1937.243546121309,0.0,223.74892945310367,8424.386591512308,57.38516126164791,1572.4658400850055
1400282,RR,2010,1322323.0187583016,29309.04200547572,4751.947061109065,0.0,18792.982848074662,28585.438911162102,0.0,0.0,0.0,0.0,0.0,4083.510810646074,0.0,268.4866701813116,960.0998206535986,851.4323804194548,1337.2639687043982
1400027,RR,2010,2244599.1222849926,9386.634466129522,530097.61034016,0.0,3733.719294178363,7089.822746715446,0.0,0.0,0.0,0.0,0.0,858.9806821981426,0.0,57.30486017889591,8969.249513255314,389.6308911480474,49380.19726298466
1400050,RR,2010,2210969.8820274593,21867.89198408493,262197.13806293794,0.0,10126.006685568562,6693.326112992101,0.0,0.0,0.0,0.0,0.0,663.8691263814709,0.0,271.3574338896956,10530.19214796541,225.53562854433568,38213.77963637515
1400506,RR,2010,378811.3240107498,22906.79727982427,44.446649303231936,0.0,20851.240125903234,6382.2899065875745,0.0,0.0,0.0,0.0,0.0,737.786273054687,0.0,274.5795148351196,767.5077113082708,108.58713915139184,482.81026004639926
1400605,RR,2010,97895.34107438802,20853.358066960816,0.0,0.0,23686.249777191897,8480.667612886115,0.0,0.0,0.0,0.0,0.0,501.5204123276153,0.0,188.1353992525917,301.94210878286356,168.23076836543973,1661.6201172104136
1400704,RR,2010,206837.87274276954,1278.97542026179,597938.4142320734,0.0,394.8504615269274,141.1893787487038,0.0,0.0,0.0,0.0,0.0,1180.3255401009583,0.0,0.0,771.8941579535988,1.6361345610719975,7813.867496984197
1400308,RR,2010,1059653.9311567594,51054.36442437506,18441.374519609686,0.0,32481.52699466501,48211.525417518074,0.0,0.0,426.3887117777754,0.0,0.0,5148.273055031561,69.6712269227039,514.4689619213752,5478.300467506936,149.29978810665577,21577.111725804596
1400407,RR,2010,47924.44904667967,106.88074114291183,649614.4395262084,0.0,159.47795034547175,355.5430815198235,0.0,0.0,1309.630358602366,0.0,0.0,0.0,0.0,39.89960049239994,2486.834194111341,31.929718029263956,147.4127126619838
1400456,RR,2010,153518.0441341597,4061.7492172202815,634842.6036603876,0.0,659.3622281120151,1690.4482059183817,0.0,0.0,0.0,0.0,0.0,676.9381275993591,0.0,321.81662676398355,2113.383971137821,126.0024364732318,11083.386307043935
1400472,RR,2010,2451748.382551404,41260.12166219638,764485.630247076,0.0,40996.62369678104,13476.408761230254,0.0,0.0,0.0,0.0,0.0,1618.0166292760775,83.72391640430386,735.126299688527,55915.28005477859,596.6270072120152,9882.062033803328
1400100,RR,2012,22785.06083837224,883.3119102719988,537438.1129919564,0.0,436.8278525355353,71.9598077811359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.890838979071996,11095.170490937791,95.61851428694386,566.8854936877432
1400175,RR,2012,531201.0877440672,48325.573030296604,83536.79480622102,0.0,24826.79616842459,41997.14507496493,0.0,0.0,28.77790053124796,0.0,0.0,1251.3819607011342,0.0,507.1314504849113,7578.314308366548,5252.503860443656,27750.02659675167
1400159,RR,2012,154964.27667215856,14883.333919222008,617063.3818315156,0.0,7945.611460874196,3763.661560409515,0.0,0.0,261.23949746294363,0.0,0.0,251.84427078095965,0.0,90.38890627271986,3591.5964153426667,608.5617556360311,10607.381563760768
1400209,RR,2012,3158672.2995687663,40963.80062920617,1449987.436703616,0.0,13185.979820186958,34331.42303802283,0.0,0.0,0.0,0.0,0.0,2210.457942549645,161.11408490654378,1088.6217035981745,60618.20330486756,3412.3142104634835,5320.378350639784
1400233,RR,2012,1108970.369360039,41722.384882693616,1287.0456790783662,0.0,10944.927165108798,18087.849002794006,0.0,0.0,0.0,0.0,0.0,1142.5539183014862,0.0,316.2256638773755,8427.237279950003,18.238383420047974,23333.306443226174
