CD_MUN,SIGLA_UF,ANO,Veg_Florestal_Primaria,Veg_Florestal_Secundaria,Natural_Nao_Florestal,Silvicultura,Pastagem_Arbustiva_Arborea,Pastagem_Herbacea,Cultura_Perene,Cultura_Semiperene,Cultura_Temporaria_Total,Cultura_Temporaria_1Ciclo,Cultura_Temporaria_NCiclos,Desflorestamento_Ano,Mineracao,Urbanizada,Corpo_Dagua,Outros_Usos,Nao_Observado
1301159,AM,2008,82840.77513383284,24908.823724455797,71029.37921055927,0.0,5469.547649486975,14217.70820665536,0.0,0.0,0.0,0.0,0.0,1390.182382237968,0.0,0.0,63693.86526352872,28.045153151136,1364.8674659004
1303700,AM,2008,1177220.096478233,9771.718308466752,8924.521810162465,0.0,1770.548535963504,20.657453537952,0.0,0.0,0.0,0.0,0.0,100.195676003808,0.0,346.910715123984,44494.47863564616,43.422810498144,5652.513666537408
1300706,AM,2008,2017481.6728244345,46283.17521631162,5846.410668477456,0.0,38418.196080155765,103657.42556834068,0.0,0.0,0.0,0.0,0.0,3898.848433222512,0.6323710266720001,419.733759544704,15398.605891970928,79.608485913264,2672.5806361520645
1304237,AM,2008,602515.7967769158,5532.353133834385,6764.874377724144,0.0,1167.065823811536,105.866939973168,0.0,0.0,0.0,0.0,0.0,30.444147998352,0.0,95.217008873184,33138.931883884994,36.828084077136005,386.719976898288
1304203,AM,2008,2247978.262110648,48499.81634223316,15135.931012653791,0.0,8664.376414952016,618.6696544274399,0.0,0.0,0.0,0.0,0.0,985.133683201536,6.735253315824,866.027102209632,69219.61363330674,258.42895956662403,224.612166092688
1304260,AM,2008,955551.1055953008,18412.315565288834,10018.152293797297,0.0,3701.669124524976,72.11037231129599,0.0,0.0,0.0,0.0,0.0,671.889197021328,0.0,160.210697725584,47094.69795860333,314.78024438784,52.587171567216
1301654,AM,2008,704744.9571745234,16548.437095896817,20069.428784229796,0.0,11603.85777490104,14423.600182831487,0.0,0.0,0.0,0.0,0.0,350.86554344952,0.0,221.209407711072,1204.184999313648,9.164361069072,235.151683203888
1300300,AM,2008,497540.6906664269,62269.263829696174,47652.00754817289,0.0,13749.211614609503,35026.47909741816,0.0,0.0,0.0,0.0,0.0,4089.1921122507833,0.0,285.791553514368,109460.5539532148,117.430295889456,1898.1168435504
1302108,AM,2008,5461321.034424646,4095.636274141632,261.440250169824,0.0,158.48422444641602,86.54449193596801,0.0,0.0,0.0,0.0,0.0,150.95599793841598,0.0,307.733824376352,147397.14428956545,1.485570030912,3077.097340515264
1303403,AM,2008,161303.26421987236,45905.027379997104,112939.57828817453,0.0,13575.721125323807,20252.123785125936,0.0,0.0,0.0,0.0,0.0,474.17789365056,0.0,69.550775298576,233868.67265421792,204.045051272832,11680.24417986888
1301704,AM,2008,2898398.3724377435,33920.90382772397,314721.0524522164,0.0,10894.618536764689,19125.55981992744,0.0,0.0,0.0,0.0,0.0,2085.87081265992,0.0,0.0,80083.67760808431,155.32236931305602,1178.980496964864
1300409,AM,2008,10157024.022695612,16261.571515400638,1695929.1663592572,0.0,670.8954711222719,135.789130933632,0.0,0.0,0.0,0.0,0.0,149.470427907504,29.671250076864,247.859329549392,450921.4654564335,39.427831631232,3001.4938711042564
1302207,AM,2008,1859953.513069264,10307.165928257087,14084.418446922384,0.0,1736.671516677504,107.041343308416,0.0,0.0,0.0,0.0,0.0,298.960931085696,0.0,131.04132941592002,72722.74836836275,56.451661174656,1269.128499989328
1303502,AM,2008,4178592.472044285,12573.272521153873,2461.268336890176,0.0,2506.74886263384,4700.433916523663,0.0,0.0,0.0,0.0,0.0,318.805336160784,0.0,79.76908807876801,26559.051125550766,74.71011986539199,429.108910956
1303536,AM,2008,2150079.859557479,29726.07564111293,97.806718791936,70.71514099848001,19687.36627013112,7245.96820212672,0.0,4766.240653838929,0.0,0.0,0.0,1909.820726361504,293.038726232736,523.342231565472,344055.5499009245,287.11652137977603,5170.907922732287
1301803,AM,2008,1194235.574709051,10314.382988069425,6848.939573730144,0.0,2410.63850421504,6151.554782935056,0.0,0.0,0.0,0.0,0.0,533.8917863120159,123.14171040019198,167.869413493056,7219.92053840904,41.917165196544,489.123932677776
