CD_MUN,SIGLA_UF,ANO,Veg_Natural_Primaria,Veg_Natural_Secundaria,Silvicultura,Pastagem,Cultura_Perene,Cultura_Semiperene,Cultura_Temporaria_Total,Cultura_Temporaria_1Ciclo,Cultura_Temporaria_NCiclos,Desflorestamento_Ano,Mineracao,Urbanizada,Outras_Areas_Edificadas,Corpo_Dagua,Outros_Usos,Nao_Observado
2904209,BA,2018,1512.1697645736003,46.403988195312,0.0,240.080162157792,0.0,0.0,0.0,0.0,0.0,2.248430317056,0.0,0.0,0.0,0.0,0.0,0.0
2923209,BA,2018,360.260770131504,7.999995369168,0.0,23.98994847216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2924504,BA,2018,7873.902593976672,165.078950867424,0.0,8985.470331971232,0.0,0.0,0.0,0.0,0.0,1.686322737792,0.0,0.0,0.0,0.0,9.676280471616,0.0
2901403,BA,2018,23237.95894509356,1469.048083135776,5.631113427983999,2455.40635784928,155.503046749248,0.0,0.0,0.0,0.0,103.969826893152,0.0,0.0,0.0,371.121491573712,0.0,0.0
2921054,BA,2018,579.452613138432,442.599492858336,0.0,4249.312471258272,0.0,0.0,0.0,0.0,0.0,3.874527242784,0.0,0.0,0.0,0.0,0.0,0.0
2928901,BA,2018,737042.3838993441,65834.53152753152,8037.506012448528,156758.10248448502,3085.1776369671843,0.0,578192.1872682859,491837.4668661316,86354.72040215433,8977.319772071904,10.288576227600002,856.842665869872,521.987150794032,3244.484947511808,1432.9326711680642,0.0
2923704,BA,2018,18972.83719816848,386.780202710352,0.0,651.7537005212639,0.0,0.0,0.0,0.0,0.0,4.878290777184,0.0,0.0,0.0,0.0,0.0,0.0
2909109,BA,2018,118806.71667363736,1361.8762505678878,0.0,19211.83329570912,0.0,0.0,0.0,0.0,0.0,157.480460912016,0.0,222.68494010664,87.769083447936,0.60225812064,0.0,0.0
2905206,BA,2018,109681.57264585436,8521.621165089648,4.496860634111999,66402.75202672003,55.4579352756,0.0,0.0,0.0,0.0,574.443833101776,0.0,0.0,89.846873964144,38.49433154424,0.0,0.0
2911105,BA,2018,919321.8869180586,36366.32273840597,96.16054659552,90376.97152429598,47.457939906432,0.0,543523.5197579752,515450.0805504399,28073.439207535397,9708.230264915952,0.0,891.99446484456,528.13018362456,168.812951215392,1732.676537810592,0.0
2917359,BA,2018,595522.455781127,19200.17960107474,1558.112021543088,156957.43988478155,1630.172205677664,12520.052978559985,181560.6678011893,152986.6115685072,28574.056232682047,8498.976259753585,0.0,0.0,31.999981476672,534.112614289584,439.126471029312,0.0
2910776,BA,2018,1.30489259472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2902500,BA,2018,220860.86086138696,24765.04463578833,1154.438478548784,67483.84550381021,1135.788552079632,0.0,23484.35277988272,22020.48411658445,1463.8686632982722,2870.6231814891844,0.0,0.0,206.584573014864,563.442584764752,0.0,0.0
2909703,BA,2018,70725.30912308347,8308.682768902032,101.922149282976,23939.34875239089,0.0,1183.818637200672,0.0,0.0,0.0,217.595858987232,0.0,130.64986163750402,282.8103758172,6.183183371904,0.0,0.0
2911709,BA,2018,3259.360723091616,150.795395772912,0.0,9235.748731638529,0.0,0.0,0.0,0.0,0.0,26.589696026256,0.0,0.0,48.311138910672,22.474265535216,0.0,0.0
