CD_MUN,SIGLA_UF,ANO,Veg_Florestal_Primaria,Veg_Florestal_Secundaria,Natural_Nao_Florestal,Silvicultura,Pastagem_Arbustiva_Arborea,Pastagem_Herbacea,Cultura_Perene,Cultura_Semiperene,Cultura_Temporaria_Total,Cultura_Temporaria_1Ciclo,Cultura_Temporaria_NCiclos,Desflorestamento_Ano,Mineracao,Urbanizada,Corpo_Dagua,Outros_Usos,Nao_Observado
2100956,MA,2008,101598.45561840269,44094.16770049209,11104.093948758624,0.0,59676.291679457376,63670.738551696144,0.0,0.0,0.0,0.0,0.0,3643.069409386704,0.0,181.99236642206398,366.453991138752,49.23460136232,2590.422590861424
2111409,MA,2008,0.0,308.426421215088,17.455447863216,0.0,438.564363450048,4061.618727960816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.823072205712,0.0,74.820533854176
2109908,MA,2008,0.0,578.9206184652,1255.0356599663521,0.0,8981.876858518079,9034.75512151027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.10136073304,894.433610233152,0.0,58164.332705226
2108603,MA,2008,8917.264599808752,30291.20454861547,42478.87127039424,0.0,26901.846410183713,8520.577251013872,0.0,0.0,0.0,0.0,0.0,385.415084303568,0.0,751.357156039776,11636.319487603536,430.26323902056,22148.855434998863
2102507,MA,2008,5015.314537264943,3582.251376837408,37972.2139041865,0.0,3948.936233589072,2209.002485424768,0.0,0.0,0.0,0.0,0.0,485.55053449531204,0.0,24.04013664888,13082.431573978272,125.67119450688,320.25075565032
2104305,MA,2008,34575.32753924674,3037.027100222016,2857.1325995868483,0.0,7693.375722314832,1191.56769168624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3268.40463253656,257.56572292704,14933.371531411873
2107357,MA,2008,131887.68275285538,11463.220466096256,0.0,0.0,3567.345488351568,55068.20400809851,0.0,0.0,0.0,0.0,0.0,222.905768084208,0.0,0.0,229.370005245744,0.0,44785.5800982575
2110203,MA,2008,24873.671925481103,9183.432576225601,18893.31905097331,0.0,5210.265490916112,6195.258647222832,0.0,0.0,0.0,0.0,0.0,1822.292546161824,0.0,574.664661079344,1039.738419472896,25.114163630688,550.895540584752
2105658,MA,2008,1692.254980280304,486.714900195216,0.0,0.0,2207.998721890368,14706.290107024557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.168022725168,0.0,37983.42594286574
2112803,MA,2008,9559.352057493743,18128.11999579416,38060.96667589814,0.0,14036.569039237536,13738.130065189727,0.0,0.0,0.0,0.0,0.0,637.199129272464,0.0,747.5629298797439,20502.442335334606,501.23935853798395,1721.133257164992
2106904,MA,2008,6764.432721769008,14202.561414921263,18464.380779818162,0.0,25439.593806175824,27364.460947917985,0.0,0.0,0.0,0.0,0.0,1246.132277416224,0.0,445.831611439104,13433.3673808752,537.013490904,17724.9583722024
2108702,MA,2008,0.0,2360.530628577792,4548.263364708624,0.0,10173.474663110352,7339.478812991423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.892082685264,3218.005665474336,0.0,27349.19370455976
2111508,MA,2008,0.0,298.338597694368,6993.782651744064,0.0,442.469003598864,756.03469411008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1347.3317169544323,2.840650802352,498.09757867531204
2112852,MA,2008,8898.996103482672,15027.253534784304,13167.209442093696,3505.955310587664,11694.537772598736,56266.03518423941,0.0,0.0,0.0,0.0,0.0,209.18432056896,0.0,133.932168394992,1386.839849668416,0.642408662016,9973.063235832047
2100204,MA,2008,17744.491610581823,33285.65199970824,6265.953712950624,0.0,17426.05766692877,2458.809116230896,0.0,0.0,0.0,0.0,0.0,159.08648256705598,0.0,841.00327729704,7235.9004538766885,588.7876140083521,31425.256589780594
2102606,MA,2008,58051.14832908706,15926.043478756752,7936.6578901473595,0.0,30869.39241970056,7578.484948167408,0.0,0.0,0.0,0.0,0.0,365.66101794657607,0.0,122.469188832144,5124.01209040512,47.02632158664,37202.88938088096
2107407,MA,2008,0.0,218.248305284592,0.0,0.0,6608.447868523248,17101.75170659947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.880509601312,0.0,45741.865617480384
2107456,MA,2008,55.217032027344,4439.19441906072,238.38380178465601,0.0,6105.823316307792,6951.704884382016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.79541429624,1713.434390856144,28.928465061408,497.37486893054404
2109205,MA,2008,26301.66608005992,2979.993256197408,3290.4071292106078,0.0,284.647263085152,333.630923563872,0.0,0.0,0.0,0.0,0.0,1684.184721463728,0.0,118.674962672112,460.13524180430403,45.47048810832,18.037630713168
2109239,MA,2008,139.18185167990399,2471.6472518358723,0.07026344740799999,0.0,10259.406859290335,7006.992179856768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.996227203936,14.464232530704,0.0,24190.078845648677
2105708,MA,2008,0.0,3584.38939316568,0.0,0.0,3889.824599048256,26903.97438887664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527.12642009016,93.721401206928,0.0,753.987016499904
2109270,MA,2008,8483.949919643615,21696.49936058616,8093.686657468897,0.0,15520.673575389312,9217.269444970223,0.0,0.0,0.0,0.0,0.0,807.72851613168,0.0,287.136596650464,407.497882060368,52.737736097376,8612.963646720049
2103109,MA,2008,6098.9876866385275,4566.391334139888,132.998668308,0.0,6813.19555427016,9.184436339760001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.514416076592,735.1363373238721,141.390131455584,10103.652871657487
