rgint_id,ano,native_ha
1101,2008,9208775.94
1101,2009,9171980.34
1101,2010,9140505.25
1101,2011,9066499.39
1101,2012,8980200.49
1101,2013,8895143.81
1101,2014,8818151.62
1101,2015,8713857.16
1101,2016,8569630.85
1101,2017,8441052.67
1101,2018,8338487.77
1101,2019,8194268.14
1101,2020,8062530.71
1101,2021,7894602.69
1101,2022,7724707.68
1101,2023,7618007.19
1101,2024,7583410.62
1102,2008,7051565.4
1102,2009,7035398.9
1102,2010,7032143.44
1102,2011,7018360.96
1102,2012,7018142.49
1102,2013,7021721.59
1102,2014,7011142.95
1102,2015,6990797.39
1102,2016,6965362.44
1102,2017,6937894.86
1102,2018,6911585.25
1102,2019,6857420.48
1102,2020,6811748.53
1102,2021,6758107.29
1102,2022,6684523.07
1102,2023,6592363.52
1102,2024,6569186.3
1201,2008,6545456.57
1201,2009,6513001.99
1201,2010,6483830.86
1201,2011,6462608.68
1201,2012,6443282.3
1201,2013,6422726.23
1201,2014,6398366.39
1201,2015,6367884.98
1201,2016,6350235.47
1201,2017,6327029.03
1201,2018,6298907.85
1201,2019,6238476.49
1201,2020,6172947.28
1201,2021,6107540.12
1201,2022,6021818.86
1201,2023,5979851.59
1201,2024,5951216.58
1202,2008,8246416.25
1202,2009,8236317.84
1202,2010,8227455.43
1202,2011,8218119.51
1202,2012,8211006.01
1202,2013,8201209.36
1202,2014,8191499.85
1202,2015,8180723.91
1202,2016,8169358.7
1202,2017,8157631.99
1202,2018,8144487.5
1202,2019,8108394.51
1202,2020,8075804.41
1202,2021,8034980.39
1202,2022,7984478.02
1202,2023,7956690.87
1202,2024,7930940.2
1301,2008,53936753.22
1301,2009,53900409.04
1301,2010,53975248.28
1301,2011,53948781.85
1301,2012,53936778.91
1301,2013,53981204.81
1301,2014,53990155.77
1301,2015,54009488.37
1301,2016,54090194.68
1301,2017,53940879.88
1301,2018,54001551.77
1301,2019,53956330.89
1301,2020,54008117.93
1301,2021,53911200.92
1301,2022,53581344.88
1301,2023,53691333.98
1301,2024,53795633.6
1302,2008,42762437.51
1302,2009,42736886.76
1302,2010,42760208.86
1302,2011,42754313.76
1302,2012,42758156.23
1302,2013,42737668.14
1302,2014,42762572.76
1302,2015,42729561.31
1302,2016,42736935.33
1302,2017,42746740.1
1302,2018,42747241.95
1302,2019,42724438.24
1302,2020,42724586.83
1302,2021,42707896.94
1302,2022,42627358.16
1302,2023,42614921.01
1302,2024,42634659.62
1303,2008,41538673.6
1303,2009,41507850.64
1303,2010,41498607.81
1303,2011,41466326.35
1303,2012,41440962.43
1303,2013,41415513.55
1303,2014,41364701.76
1303,2015,41313571.89
1303,2016,41233296.11
1303,2017,41162261.73
1303,2018,41086900.22
1303,2019,40931349.35
1303,2020,40791853.56
1303,2021,40560563.06
1303,2022,40278583.66
1303,2023,40182105.16
1303,2024,40115249.6
1304,2008,11516588.32
1304,2009,11492327.61
1304,2010,11578231.73
1304,2011,11542590.42
1304,2012,11485389.63
1304,2013,11482537.15
1304,2014,11468851.78
1304,2015,11491314.91
1304,2016,11579311.48
1304,2017,11506574.26
1304,2018,11553973.49
1304,2019,11529767.91
1304,2020,11548602.89
1304,2021,11497045.78
1304,2022,11429600.02
1304,2023,11457188.41
1304,2024,11539962.06
1401,2008,10591974.92
1401,2009,10592104.0
1401,2010,10578845.87
1401,2011,10587311.04
1401,2012,10592130.28
1401,2013,10584789.73
1401,2014,10564407.42
1401,2015,10528503.16
1401,2016,10503472.8
1401,2017,10489626.65
1401,2018,10487196.92
1401,2019,10471656.89
1401,2020,10458638.05
1401,2021,10440990.17
1401,2022,10401391.23
1401,2023,10402242.55
1401,2024,10372172.69
1402,2008,10708238.54
1402,2009,10710272.56
1402,2010,10733346.48
1402,2011,10713076.14
1402,2012,10721719.51
1402,2013,10754213.41
1402,2014,10766230.94
1402,2015,10794381.86
1402,2016,10750482.39
1402,2017,10708332.25
1402,2018,10712987.33
1402,2019,10712200.64
1402,2020,10671053.87
1402,2021,10613125.03
1402,2022,10468568.34
1402,2023,10528270.44
1402,2024,10538957.37
1501,2008,3110432.02
1501,2009,3076909.15
1501,2010,3068652.33
1501,2011,3077333.0
1501,2012,3082919.43
1501,2013,3061760.68
1501,2014,3044167.88
1501,2015,3021400.69
1501,2016,2987377.28
1501,2017,2967326.49
1501,2018,2945759.52
1501,2019,2946617.69
1501,2020,2939547.71
1501,2021,2910639.81
1501,2022,2890016.35
1501,2023,2836228.12
1501,2024,2807443.31
1502,2008,4510130.57
1502,2009,4459483.15
1502,2010,4457951.07
1502,2011,4473588.41
1502,2012,4484857.71
1502,2013,4454310.62
1502,2014,4416752.42
1502,2015,4366087.91
1502,2016,4303616.27
1502,2017,4277365.49
1502,2018,4286197.59
1502,2019,4292400.35
1502,2020,4288184.6
1502,2021,4256285.32
1502,2022,4184401.49
1502,2023,4069574.24
1502,2024,4035348.83
1503,2008,6043093.2
1503,2009,5953050.23
1503,2010,5875662.83
1503,2011,5844571.07
1503,2012,5820112.15
1503,2013,5786022.55
1503,2014,5733594.46
1503,2015,5653984.33
1503,2016,5574687.0
1503,2017,5500347.59
1503,2018,5418777.59
1503,2019,5294683.25
1503,2020,5189631.82
1503,2021,5072422.39
1503,2022,4930371.1
1503,2023,4717615.41
1503,2024,4650496.88
1504,2008,11673501.52
1504,2009,11587351.73
1504,2010,11524951.8
1504,2011,11471780.6
1504,2012,11421756.76
1504,2013,11356311.71
1504,2014,11321819.55
1504,2015,11272601.9
1504,2016,11235228.53
1504,2017,11186676.66
1504,2018,11151809.25
1504,2019,11052732.27
1504,2020,10957226.55
1504,2021,10844353.37
1504,2022,10732437.95
1504,2023,10601050.47
1504,2024,10534425.4
1505,2008,40322178.11
1505,2009,40221771.66
1505,2010,40305977.83
1505,2011,40276315.46
1505,2012,40201808.81
1505,2013,40162706.33
1505,2014,40082503.62
1505,2015,39980250.04
1505,2016,39974393.76
1505,2017,39877909.15
1505,2018,39832550.13
1505,2019,39678973.38
1505,2020,39562504.77
1505,2021,39329990.57
1505,2022,39095195.71
1505,2023,39080981.28
1505,2024,38991022.13
1506,2008,28397617.49
1506,2009,28349340.79
1506,2010,28327832.83
1506,2011,28293080.38
1506,2012,28256444.97
1506,2013,28221676.6
1506,2014,28213691.3
1506,2015,28187728.44
1506,2016,28142593.75
1506,2017,28083527.42
1506,2018,28002491.85
1506,2019,27840916.73
1506,2020,27670983.55
1506,2021,27479881.48
1506,2022,27278473.75
1506,2023,27202913.53
1506,2024,27146915.51
1507,2008,8947024.12
1507,2009,8947240.57
1507,2010,8926738.77
1507,2011,8926660.52
1507,2012,8931993.53
1507,2013,8958425.35
1507,2014,8954963.7
1507,2015,8955695.83
1507,2016,8952015.6
1507,2017,8941874.16
1507,2018,8929590.52
1507,2019,8910989.52
1507,2020,8889635.49
1507,2021,8861325.13
1507,2022,8774989.71
1507,2023,8760653.86
1507,2024,8753905.44
1601,2008,5325263.17
1601,2009,5332468.66
1601,2010,5328904.84
1601,2011,5322587.2
1601,2012,5332831.04
1601,2013,5337421.71
1601,2014,5340440.86
1601,2015,5346186.06
1601,2016,5340550.5
1601,2017,5336186.21
1601,2018,5341901.7
1601,2019,5341067.74
1601,2020,5333761.49
1601,2021,5329215.3
1601,2022,5284548.26
1601,2023,5294057.22
1601,2024,5292150.72
1602,2008,8320456.16
1602,2009,8328082.58
1602,2010,8324540.32
1602,2011,8326393.68
1602,2012,8342582.28
1602,2013,8365192.39
1602,2014,8366905.45
1602,2015,8377738.36
1602,2016,8378953.06
1602,2017,8377013.33
1602,2018,8388950.97
1602,2019,8388122.74
1602,2020,8377595.78
1602,2021,8365023.27
1602,2022,8301653.78
1602,2023,8319050.62
1602,2024,8312478.81
1701,2008,8800492.0
1701,2009,8761585.35
1701,2010,8722823.67
1701,2011,8690509.93
1701,2012,8621956.49
1701,2013,8516057.2
1701,2014,8427202.3
1701,2015,8360220.6
1701,2016,8311698.79
1701,2017,8287783.75
1701,2018,8254562.73
1701,2019,8198197.55
1701,2020,8143991.79
1701,2021,8112029.35
1701,2022,8077794.93
1701,2023,7976799.61
1701,2024,7908483.64
1702,2008,4549151.66
1702,2009,4510667.65
1702,2010,4469623.39
1702,2011,4434320.64
1702,2012,4401858.79
1702,2013,4347724.06
1702,2014,4330721.54
1702,2015,4289337.55
1702,2016,4264320.38
1702,2017,4234728.78
1702,2018,4215079.55
1702,2019,4184389.73
1702,2020,4162825.59
1702,2021,4143621.46
