ano,cultura,area_ha
2008,soja,7400.0
2008,milho,4050.0
2008,cana,326.0
2008,algodao,0.0
2009,soja,1400.0
2009,milho,4050.0
2009,cana,326.0
2009,algodao,0.0
2010,soja,1400.0
2010,milho,4050.0
2010,cana,330.0
2010,algodao,0.0
2011,soja,3600.0
2011,milho,4050.0
2011,cana,331.0
2011,algodao,0.0
2012,soja,5000.0
2012,milho,4050.0
2012,cana,331.0
2012,algodao,0.0
2013,soja,14900.0
2013,milho,4175.0
2013,cana,311.0
2013,algodao,0.0
2014,soja,16000.0
2014,milho,4325.0
2014,cana,217.0
2014,algodao,0.0
2015,soja,23725.0
2015,milho,3094.0
2015,cana,137.0
2015,algodao,900.0
2016,soja,23900.0
2016,milho,3730.0
2016,cana,136.0
2016,algodao,900.0
2017,soja,18395.0
2017,milho,5453.0
2017,cana,130.0
2017,algodao,2500.0
2018,soja,35470.0
2018,milho,8010.0
2018,cana,91.0
2018,algodao,0.0
2019,soja,39600.0
2019,milho,8990.0
2019,cana,110.0
2019,algodao,0.0
2020,soja,49400.0
2020,milho,13060.0
2020,cana,100.0
2020,algodao,0.0
2021,soja,69790.0
2021,milho,19820.0
2021,cana,134.0
2021,algodao,0.0
2022,soja,99768.0
2022,milho,15170.0
2022,cana,135.0
2022,algodao,0.0
2023,soja,124622.0
2023,milho,12332.0
2023,cana,130.0
2023,algodao,0.0
2024,soja,112590.0
2024,milho,15696.0
2024,cana,115.0
2024,algodao,0.0
