ano,cultura,area_ha
2008,soja,6223.0
2008,milho,37772.0
2008,cana,506478.0
2008,algodao,124.0
2009,soja,4764.0
2009,milho,23750.0
2009,cana,552712.0
2009,algodao,90.0
2010,soja,4462.0
2010,milho,28466.0
2010,cana,564740.0
2010,algodao,90.0
2011,soja,4455.0
2011,milho,28201.0
2011,cana,556806.0
2011,algodao,33.0
2012,soja,3610.0
2012,milho,23182.0
2012,cana,496606.0
2012,algodao,30.0
2013,soja,4695.0
2013,milho,23514.0
2013,cana,583746.0
2013,algodao,0.0
2014,soja,5740.0
2014,milho,23240.0
2014,cana,579765.0
2014,algodao,0.0
2015,soja,9615.0
2015,milho,22813.0
2015,cana,579618.0
2015,algodao,0.0
2016,soja,14263.0
2016,milho,26497.0
2016,cana,582653.0
2016,algodao,0.0
2017,soja,21962.0
2017,milho,30745.0
2017,cana,573066.0
2017,algodao,0.0
2018,soja,26504.0
2018,milho,30652.0
2018,cana,599419.0
2018,algodao,37.0
2019,soja,30955.0
2019,milho,27133.0
2019,cana,590818.0
2019,algodao,35.0
2020,soja,40350.0
2020,milho,25677.0
2020,cana,593931.0
2020,algodao,0.0
2021,soja,44409.0
2021,milho,20758.0
2021,cana,563597.0
2021,algodao,0.0
2022,soja,53171.0
2022,milho,28285.0
2022,cana,589351.0
2022,algodao,0.0
2023,soja,64001.0
2023,milho,25560.0
2023,cana,563563.0
2023,algodao,56.0
2024,soja,52287.0
2024,milho,21352.0
2024,cana,557352.0
2024,algodao,52.0
