ano,cultura,area_ha
2008,soja,0.0
2008,milho,21771.0
2008,cana,16151.0
2008,algodao,830.0
2009,soja,0.0
2009,milho,27118.0
2009,cana,15646.0
2009,algodao,980.0
2010,soja,0.0
2010,milho,24900.0
2010,cana,15254.0
2010,algodao,86.0
2011,soja,0.0
2011,milho,16623.0
2011,cana,15713.0
2011,algodao,65.0
2012,soja,0.0
2012,milho,6731.0
2012,cana,15216.0
2012,algodao,52.0
2013,soja,0.0
2013,milho,20626.0
2013,cana,14761.0
2013,algodao,46.0
2014,soja,0.0
2014,milho,33523.0
2014,cana,16560.0
2014,algodao,0.0
2015,soja,0.0
2015,milho,42975.0
2015,cana,16556.0
2015,algodao,0.0
2016,soja,0.0
2016,milho,17225.0
2016,cana,16556.0
2016,algodao,0.0
2017,soja,0.0
2017,milho,18494.0
2017,cana,16154.0
2017,algodao,0.0
2018,soja,0.0
2018,milho,19328.0
2018,cana,16275.0
2018,algodao,0.0
2019,soja,0.0
2019,milho,20923.0
2019,cana,17405.0
2019,algodao,0.0
2020,soja,0.0
2020,milho,20090.0
2020,cana,17282.0
2020,algodao,0.0
2021,soja,0.0
2021,milho,24234.0
2021,cana,17315.0
2021,algodao,0.0
2022,soja,0.0
2022,milho,26248.0
2022,cana,15741.0
2022,algodao,0.0
2023,soja,0.0
2023,milho,28110.0
2023,cana,16248.0
2023,algodao,0.0
2024,soja,0.0
2024,milho,27750.0
2024,cana,16594.0
2024,algodao,0.0
