ano,cultura,area_ha
2008,soja,17801.0
2008,milho,52595.0
2008,cana,1515.0
2008,algodao,0.0
2009,soja,18691.0
2009,milho,44825.0
2009,cana,1443.0
2009,algodao,0.0
2010,soja,21003.0
2010,milho,68036.0
2010,cana,1682.0
2010,algodao,0.0
2011,soja,24118.0
2011,milho,57697.0
2011,cana,1509.0
2011,algodao,0.0
2012,soja,28337.0
2012,milho,60559.0
2012,cana,2110.0
2012,algodao,0.0
2013,soja,32817.0
2013,milho,61512.0
2013,cana,2023.0
2013,algodao,0.0
2014,soja,34938.0
2014,milho,64403.0
2014,cana,1870.0
2014,algodao,0.0
2015,soja,47232.0
2015,milho,57301.0
2015,cana,1785.0
2015,algodao,0.0
2016,soja,49521.0
2016,milho,48541.0
2016,cana,1495.0
2016,algodao,0.0
2017,soja,56596.0
2017,milho,56251.0
2017,cana,1610.0
2017,algodao,0.0
2018,soja,59982.0
2018,milho,52975.0
2018,cana,1871.0
2018,algodao,0.0
2019,soja,70193.0
2019,milho,51273.0
2019,cana,1735.0
2019,algodao,0.0
2020,soja,75164.0
2020,milho,45349.0
2020,cana,1733.0
2020,algodao,0.0
2021,soja,84130.0
2021,milho,45465.0
2021,cana,1607.0
2021,algodao,0.0
2022,soja,105924.0
2022,milho,48323.0
2022,cana,1552.0
2022,algodao,0.0
2023,soja,123985.0
2023,milho,47324.0
2023,cana,1499.0
2023,algodao,0.0
2024,soja,156603.0
2024,milho,42649.0
2024,cana,1990.0
2024,algodao,0.0
