ano,cultura,area_ha
2008,soja,0.0
2008,milho,2262.0
2008,cana,2461.0
2008,algodao,0.0
2009,soja,0.0
2009,milho,1663.0
2009,cana,2484.0
2009,algodao,0.0
2010,soja,0.0
2010,milho,1663.0
2010,cana,2470.0
2010,algodao,0.0
2011,soja,0.0
2011,milho,1563.0
2011,cana,2492.0
2011,algodao,0.0
2012,soja,0.0
2012,milho,1323.0
2012,cana,2578.0
2012,algodao,0.0
2013,soja,0.0
2013,milho,1282.0
2013,cana,2392.0
2013,algodao,0.0
2014,soja,0.0
2014,milho,1142.0
2014,cana,184.0
2014,algodao,0.0
2015,soja,0.0
2015,milho,453.0
2015,cana,84.0
2015,algodao,0.0
2016,soja,0.0
2016,milho,399.0
2016,cana,73.0
2016,algodao,0.0
2017,soja,0.0
2017,milho,274.0
2017,cana,46.0
2017,algodao,0.0
2018,soja,0.0
2018,milho,223.0
2018,cana,54.0
2018,algodao,0.0
2019,soja,0.0
2019,milho,135.0
2019,cana,55.0
2019,algodao,0.0
2020,soja,0.0
2020,milho,176.0
2020,cana,56.0
2020,algodao,0.0
2021,soja,0.0
2021,milho,182.0
2021,cana,56.0
2021,algodao,0.0
2022,soja,0.0
2022,milho,175.0
2022,cana,41.0
2022,algodao,0.0
2023,soja,0.0
2023,milho,81.0
2023,cana,23.0
2023,algodao,0.0
2024,soja,0.0
2024,milho,177.0
2024,cana,23.0
2024,algodao,0.0
