ano,cultura,area_ha
2008,soja,180.0
2008,milho,76078.0
2008,cana,40473.0
2008,algodao,3490.0
2009,soja,68.0
2009,milho,67093.0
2009,cana,40479.0
2009,algodao,1618.0
2010,soja,0.0
2010,milho,51305.0
2010,cana,40944.0
2010,algodao,1171.0
2011,soja,0.0
2011,milho,47722.0
2011,cana,41258.0
2011,algodao,520.0
2012,soja,0.0
2012,milho,16079.0
2012,cana,41028.0
2012,algodao,171.0
2013,soja,0.0
2013,milho,27773.0
2013,cana,41582.0
2013,algodao,72.0
2014,soja,0.0
2014,milho,33219.0
2014,cana,39182.0
2014,algodao,85.0
2015,soja,170.0
2015,milho,32892.0
2015,cana,24783.0
2015,algodao,80.0
2016,soja,135.0
2016,milho,26649.0
2016,cana,24550.0
2016,algodao,60.0
2017,soja,230.0
2017,milho,38970.0
2017,cana,22526.0
2017,algodao,31.0
2018,soja,230.0
2018,milho,26905.0
2018,cana,20332.0
2018,algodao,23.0
2019,soja,1730.0
2019,milho,31881.0
2019,cana,25321.0
2019,algodao,73.0
2020,soja,52.0
2020,milho,31441.0
2020,cana,22625.0
2020,algodao,113.0
2021,soja,902.0
2021,milho,48039.0
2021,cana,21527.0
2021,algodao,110.0
2022,soja,1106.0
2022,milho,48586.0
2022,cana,20540.0
2022,algodao,40.0
2023,soja,1500.0
2023,milho,50568.0
2023,cana,19702.0
2023,algodao,32.0
2024,soja,450.0
2024,milho,48541.0
2024,cana,22209.0
2024,algodao,33.0
