ano,cultura,area_ha
2008,soja,261844.0
2008,milho,234950.0
2008,cana,291773.0
2008,algodao,400.0
2009,soja,270515.0
2009,milho,203130.0
2009,cana,334375.0
2009,algodao,0.0
2010,soja,281965.0
2010,milho,171920.0
2010,cana,341734.0
2010,algodao,0.0
2011,soja,270733.0
2011,milho,185940.0
2011,cana,366023.0
2011,algodao,300.0
2012,soja,265855.0
2012,milho,205250.0
2012,cana,411709.0
2012,algodao,306.0
2013,soja,280335.0
2013,milho,205070.0
2013,cana,423019.0
2013,algodao,310.0
2014,soja,296235.0
2014,milho,213560.0
2014,cana,476190.0
2014,algodao,300.0
2015,soja,306735.0
2015,milho,207856.0
2015,cana,461323.0
2015,algodao,150.0
2016,soja,365388.0
2016,milho,200040.0
2016,cana,466507.0
2016,algodao,0.0
2017,soja,359745.0
2017,milho,217361.0
2017,cana,461149.0
2017,algodao,0.0
2018,soja,360000.0
2018,milho,198472.0
2018,cana,510940.0
2018,algodao,0.0
2019,soja,379920.0
2019,milho,192472.0
2019,cana,516776.0
2019,algodao,1700.0
2020,soja,408180.0
2020,milho,225091.0
2020,cana,551433.0
2020,algodao,497.0
2021,soja,435130.0
2021,milho,235765.0
2021,cana,547421.0
2021,algodao,160.0
2022,soja,436730.0
2022,milho,228197.0
2022,cana,543640.0
2022,algodao,0.0
2023,soja,470910.0
2023,milho,193152.0
2023,cana,585110.0
2023,algodao,390.0
2024,soja,485240.0
2024,milho,153742.0
2024,cana,617056.0
2024,algodao,310.0
