ano,cultura,area_ha
2008,soja,400.0
2008,milho,28640.0
2008,cana,153.0
2008,algodao,0.0
2009,soja,720.0
2009,milho,30844.0
2009,cana,177.0
2009,algodao,0.0
2010,soja,1805.0
2010,milho,32028.0
2010,cana,73.0
2010,algodao,0.0
2011,soja,2055.0
2011,milho,29569.0
2011,cana,94.0
2011,algodao,0.0
2012,soja,4802.0
2012,milho,18964.0
2012,cana,0.0
2012,algodao,0.0
2013,soja,5152.0
2013,milho,15737.0
2013,cana,148.0
2013,algodao,0.0
2014,soja,12616.0
2014,milho,15361.0
2014,cana,331.0
2014,algodao,0.0
2015,soja,25717.0
2015,milho,20147.0
2015,cana,492.0
2015,algodao,0.0
2016,soja,33176.0
2016,milho,17883.0
2016,cana,411.0
2016,algodao,0.0
2017,soja,50501.0
2017,milho,24149.0
2017,cana,249.0
2017,algodao,0.0
2018,soja,64603.0
2018,milho,22459.0
2018,cana,231.0
2018,algodao,0.0
2019,soja,100536.0
2019,milho,35243.0
2019,cana,326.0
2019,algodao,0.0
2020,soja,131216.0
2020,milho,36879.0
2020,cana,253.0
2020,algodao,0.0
2021,soja,110830.0
2021,milho,45587.0
2021,cana,322.0
2021,algodao,0.0
2022,soja,177076.0
2022,milho,76397.0
2022,cana,257.0
2022,algodao,0.0
2023,soja,251518.0
2023,milho,73695.0
2023,cana,300.0
2023,algodao,0.0
2024,soja,254751.0
2024,milho,106742.0
2024,cana,301.0
2024,algodao,0.0
