,ano,bioma,macro_regiao,uf,municipio,geocod_mun,amaz_legal,matopiba,area_ibge_ha,classe,cor_legenda,area_past_ha
34,2014.0,Amazônia,Centro-Oeste,MT,Cáceres,5102504.0,1.0,0.0,2450000.0,Severa,"rgb(208, 44, 23)",108829.64784893
35,2014.0,Amazônia,Centro-Oeste,MT,Campo Novo do Parecis,5102637.0,1.0,0.0,942858.6,Ausente,"rgb(0, 115, 63)",94.84632114
36,2014.0,Amazônia,Centro-Oeste,MT,Campo Novo do Parecis,5102637.0,1.0,0.0,942858.6,Intermediário,"rgb(248, 200, 210)",402.73008592
37,2014.0,Amazônia,Centro-Oeste,MT,Campo Novo do Parecis,5102637.0,1.0,0.0,942858.6,Severa,"rgb(208, 44, 23)",3596.38897761
38,2014.0,Amazônia,Centro-Oeste,MT,Canabrava do Norte,5102694.0,1.0,0.0,344903.7,Ausente,"rgb(0, 115, 63)",5958.09052952
39,2014.0,Amazônia,Centro-Oeste,MT,Canabrava do Norte,5102694.0,1.0,0.0,344903.7,Intermediário,"rgb(248, 200, 210)",39597.43483495
40,2014.0,Amazônia,Centro-Oeste,MT,Canabrava do Norte,5102694.0,1.0,0.0,344903.7,Severa,"rgb(208, 44, 23)",95547.12630023
41,2014.0,Amazônia,Centro-Oeste,MT,Canarana,5102702.0,1.0,0.0,1086000.0,Ausente,"rgb(0, 115, 63)",1586.57215263
42,2014.0,Amazônia,Centro-Oeste,MT,Canarana,5102702.0,1.0,0.0,1086000.0,Intermediário,"rgb(248, 200, 210)",8088.34529473
43,2014.0,Amazônia,Centro-Oeste,MT,Canarana,5102702.0,1.0,0.0,1086000.0,Severa,"rgb(208, 44, 23)",71323.50025607
44,2014.0,Amazônia,Centro-Oeste,MT,Carlinda,5102793.0,1.0,0.0,242178.8,Ausente,"rgb(0, 115, 63)",41825.00589808
45,2014.0,Amazônia,Centro-Oeste,MT,Carlinda,5102793.0,1.0,0.0,242178.8,Intermediário,"rgb(248, 200, 210)",99504.35184727
46,2014.0,Amazônia,Centro-Oeste,MT,Carlinda,5102793.0,1.0,0.0,242178.8,Severa,"rgb(208, 44, 23)",10128.27137882
47,2014.0,Amazônia,Centro-Oeste,MT,Castanheira,5102850.0,1.0,0.0,371346.6,Ausente,"rgb(0, 115, 63)",91838.39659883
48,2014.0,Amazônia,Centro-Oeste,MT,Castanheira,5102850.0,1.0,0.0,371346.6,Intermediário,"rgb(248, 200, 210)",106615.49424382
49,2014.0,Amazônia,Centro-Oeste,MT,Castanheira,5102850.0,1.0,0.0,371346.6,Severa,"rgb(208, 44, 23)",6422.88227165
50,2014.0,Amazônia,Centro-Oeste,MT,Cláudia,5103056.0,1.0,0.0,384356.1,Ausente,"rgb(0, 115, 63)",4789.27800213
51,2014.0,Amazônia,Centro-Oeste,MT,Cláudia,5103056.0,1.0,0.0,384356.1,Intermediário,"rgb(248, 200, 210)",14393.10520716
