CD_MUN,SIGLA_UF,ANO,Veg_Florestal_Primaria,Veg_Florestal_Secundaria,Natural_Nao_Florestal,Silvicultura,Pastagem_Arbustiva_Arborea,Pastagem_Herbacea,Cultura_Perene,Cultura_Semiperene,Cultura_Temporaria_Total,Cultura_Temporaria_1Ciclo,Cultura_Temporaria_NCiclos,Desflorestamento_Ano,Mineracao,Urbanizada,Corpo_Dagua,Outros_Usos,Nao_Observado,mb_municipio,mb_state_acronym,municipality,state_acronym,MB_Floresta_ha,MB_Pastagem_ha,MB_Savana_ha,TC_Floresta,TC_Pastagem,TC_Agri,MB_Agricultura_ha,MB_Mosaico_ha
1100288,RO,2008,15218.4404,17203.1318,0.0000,0.0000,8519.4330,105243.7433,519.6082,448.5819,0.0000,0.0000,0.0000,330.4891,0.0000,1629.1684,263.7891,0.0000,395.1717,Rolim de Moura,RO,Rolim de Moura,RO,31065.7915,111744.7869,,32421.5722,113763.1763,968.1902,178.8574,
1100296,RO,2008,23638.3000,13429.8642,0.0000,0.0000,9895.6229,72042.4677,148.7879,2643.2607,612.6270,0.0000,0.0000,372.1855,0.0000,200.4917,203.6737,0.0000,9.8570,Santa Luzia D'Oeste,RO,Santa Luzia D'Oeste,RO,34307.1900,84853.2364,,37068.1642,81938.0906,3404.6756,296.6723,
1100262,RO,2008,67042.3200,18811.3618,2287.3462,0.0000,15481.8681,70152.1501,0.0000,0.0000,5.8620,0.0000,0.0000,773.9719,86.2835,45.2597,294.6849,0.0000,286.5444,Rio Crespo,RO,Rio Crespo,RO,85713.7716,84825.0270,,85853.6818,85634.0182,5.8620,75.7983,
1100320,RO,2008,370736.3174,27102.2076,170508.9803,0.0000,16497.7671,107828.9363,0.0000,0.0000,0.0000,0.0000,0.0000,3877.3779,0.0000,333.9923,144.1806,61.7515,362.8304,São Miguel do Guaporé,RO,São Miguel do Guaporé,RO,587712.4595,195141.0771,,397838.5250,124326.7034,0.0000,165.4247,
1101609,RO,2008,48743.8915,21161.7544,0.0000,0.0000,38614.7832,113755.0358,147.2220,0.0000,0.0000,0.0000,0.0000,726.6244,0.0000,110.3839,497.1741,0.0000,862.4336,Theobroma,RO,Theobroma,RO,59462.5892,159442.7782,,69905.6459,152369.8190,147.2220,9.7756,
1100338,RO,2008,613213.3063,67607.5092,136905.5067,0.0000,70682.2376,129879.9047,0.0000,0.0000,0.0000,0.0000,0.0000,6637.0049,105.3550,834.2379,3402.5677,18.3689,716.4463,Nova Mamoré,RO,Nova Mamoré,RO,776955.7113,224005.1413,,680820.8154,200562.1424,0.0000,22.2598,
1100304,RO,2008,732773.7289,31331.8765,64833.7191,0.0000,22221.1565,61284.4514,0.0000,0.0000,14842.3201,0.0000,0.0000,4459.3901,152.1304,31.5182,362.8505,40.5922,989.9718,Vilhena,RO,Vilhena,RO,1008551.3639,124906.8501,,764105.6054,83505.6079,14842.3201,14027.3492,0.0873
1100379,RO,2008,181757.8371,25624.1859,94204.9342,0.0000,9930.8449,89115.2508,2485.1178,0.0000,0.0000,0.0000,0.0000,2275.3713,0.0000,171.9146,1194.6894,15.2171,778.4287,Alto Alegre dos Parecis,RO,Alto Alegre dos Parecis,RO,281865.6366,111082.7323,,207382.0230,99046.0957,2485.1178,264.1601,
1100346,RO,2008,88614.6840,19004.7970,83208.8753,0.0000,6656.6084,112132.0806,0.0000,0.0000,201.6059,0.0000,0.0000,662.0624,0.0000,257.2345,53.0790,0.0000,55.5282,Alvorada D'Oeste,RO,Alvorada D'Oeste,RO,158413.2742,149286.9701,,107619.4810,118788.6891,201.6059,131.1367,
1100809,RO,2008,482305.1863,41867.3986,0.0000,0.0000,42984.0755,83639.0883,0.0000,0.0000,0.0000,0.0000,0.0000,4836.6948,0.0000,906.1977,38958.2309,78.5445,1530.1271,Candeias do Jamari,RO,Candeias do Jamari,RO,518944.9146,139139.3118,,524172.5849,126623.1638,0.0000,46.2116,
